t,motionRel,baroRel,absAltRel,relAlt,absAlt,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.000,,,,,0.1166,0.9680,0.9680,0.2429,0.1120,0.1630,0.1410,,
0.020,0.020,,,,,0.0878,0.9280,0.9280,0.2268,-0.0010,-0.0690,0.2160,,
0.040,0.040,,,,,0.0928,0.9370,0.9370,0.3219,0.1140,-0.0020,0.3010,,
0.060,0.060,,,,,0.1474,0.9260,0.9260,0.4656,0.3310,0.0300,0.3260,,
0.080,0.080,,,,,0.1062,0.9300,0.9300,0.3661,0.2390,0.0430,0.2740,,
0.100,0.100,,,,,0.1041,0.9420,0.9420,0.2717,0.0470,-0.0980,0.2490,,
0.120,0.120,,,,,0.0786,0.9950,0.9950,0.4394,-0.0900,-0.3770,0.2070,,
0.140,0.140,,,,,0.1086,0.9130,0.9130,0.3790,-0.2220,-0.2680,0.1500,,
0.160,0.160,,,,,0.1816,0.8350,0.8350,0.2264,-0.0400,-0.0940,0.2020,,
0.180,0.180,,,,,0.1798,0.8360,0.8360,0.3199,0.1540,-0.1000,0.2620,,
0.200,0.200,,,,,0.1427,0.8690,0.8690,0.4733,0.1520,-0.3000,0.3330,,
0.220,0.220,,,,,0.0764,0.9550,0.9550,0.5562,0.1440,-0.4850,0.2310,,
0.240,0.240,,,,,0.0206,0.9960,0.9960,0.4783,0.0180,-0.3830,0.2860,,
0.260,0.260,,,,,0.0732,0.9680,0.9680,0.2614,-0.0050,-0.1740,0.1950,,
0.280,0.280,,,,,0.0806,0.9620,0.9620,0.1920,0.0340,-0.1200,0.1460,,
0.300,0.300,,,,,0.0697,0.9670,0.9670,0.2609,0.0450,-0.2470,0.0710,,
0.320,0.320,,,,,0.0686,1.0180,1.0180,0.2987,0.0040,-0.2980,0.0200,,
0.340,0.340,,,,,0.0577,1.0070,1.0070,0.2595,-0.1480,-0.1860,0.1040,,
0.360,0.360,,,,,0.0595,0.9850,0.9850,0.3630,-0.0880,-0.3490,0.0470,,
0.380,0.380,,,,,0.0883,0.9680,0.9680,0.4194,0.0130,-0.4140,-0.0660,,
0.400,0.400,,,,,0.1364,0.9120,0.9120,0.3372,0.1050,-0.2520,-0.1980,,
0.420,0.420,,,,,0.1299,0.9320,0.9320,0.1675,0.0020,0.0820,-0.1460,,
0.440,0.440,,,,,0.1240,0.9620,0.9620,0.2046,-0.0250,-0.0030,-0.2030,,
0.460,0.460,,,,,0.0696,0.9960,0.9960,0.4596,0.0590,-0.3680,-0.2690,,
0.480,0.480,,,,,0.0746,0.9470,0.9470,0.6445,0.2060,-0.5220,-0.3170,,
0.500,0.500,,,,,0.1375,0.8740,0.8740,0.6437,0.4840,-0.1950,-0.3770,,
0.520,0.520,,,,,0.1419,0.8840,0.8840,0.6775,0.5280,0.1140,-0.4090,,
0.540,0.540,,,,,0.0896,1.0210,1.0210,0.4507,0.1510,0.0370,-0.4230,,
0.560,0.560,,,,,0.1254,1.0780,1.0780,0.4828,0.0360,-0.2440,-0.4150,,
0.580,0.580,,,,,0.0774,1.0370,1.0370,0.5551,-0.0080,-0.3570,-0.4250,,
0.600,0.600,,,,,0.1100,0.8910,0.8910,0.3344,-0.0050,-0.1610,-0.2930,,
3.036,3.036,805137011.734,805137011.275,-0.13,10.492,1.0281,0.0130,0.0130,6.2766,3.7170,-3.1860,3.9280,,1011.312
3.041,3.041,805137011.734,805137011.275,-0.13,10.492,1.0297,0.0060,0.0060,6.2612,3.7180,-3.2010,3.8900,,1011.312
3.046,3.046,805137011.734,805137011.275,-0.13,10.492,1.0379,0.0070,-0.0070,6.2492,3.7210,-3.2200,3.8520,,1011.312
3.051,3.051,805137011.734,805137011.275,-0.13,10.492,1.0389,0.0120,-0.0120,6.2389,3.7240,-3.2430,3.8130,,1011.312
3.056,3.056,805137011.734,805137011.275,-0.13,10.492,1.0432,0.0210,-0.0210,7.9022,4.6810,-5.2100,3.6590,,1011.312
3.061,3.061,805137011.734,805137011.275,-0.13,10.492,1.0455,0.0410,-0.0410,9.3596,9.0600,0.0000,2.3490,,1011.312
3.066,3.066,805137011.734,805137011.275,-0.13,10.492,1.0574,0.0570,-0.0570,13.3690,-11.7520,5.2150,-3.6640,,1011.312
3.071,3.071,805137011.734,805137011.275,-0.13,10.492,1.0555,0.0550,-0.0550,12.9229,-7.0570,9.8500,-4.4920,,1011.312
3.076,3.076,805137011.734,805137011.275,-0.13,10.492,3.7231,2.4830,-2.4830,10.7780,-5.7010,8.4290,-3.5520,,1011.312
3.081,3.081,805137011.734,805137011.275,-0.13,10.492,3.7317,2.4770,-2.4770,7.9679,-4.3820,6.1600,-2.5180,,1011.312
3.086,3.086,805137011.734,805137011.275,-0.13,10.492,6.1103,4.4320,-4.4320,5.7928,-3.2440,4.4510,-1.7950,,1011.312
3.091,3.091,805137011.734,805137011.275,-0.13,10.492,6.1167,4.4270,-4.4270,4.5895,-1.8720,3.8540,-1.6450,,1011.312
3.096,3.096,805137011.734,805137011.275,-0.13,10.492,0.6456,1.3760,1.3760,3.9886,-0.0510,3.4940,-1.9230,,1011.312
3.101,3.101,805137011.734,805137011.275,-0.13,10.492,0.6418,1.3790,1.3790,4.9123,1.6480,3.9070,-2.4800,,1011.312
3.106,3.106,805137011.734,805137011.275,-0.13,10.492,0.2345,1.0890,1.0890,5.9942,2.8330,4.5230,-2.7290,,1011.312
3.111,3.111,805137011.734,805137011.275,-0.13,10.492,0.2525,1.0910,1.0910,7.1714,3.8320,5.1930,-3.1270,,1011.312
3.116,3.116,805137011.734,805137011.275,-0.13,10.492,0.5109,0.9720,0.9720,7.7054,4.5990,5.3120,-3.1630,,1011.312
3.121,3.121,805137011.734,805137011.275,-0.13,10.492,0.5354,0.9750,0.9750,7.9238,5.1360,5.2010,-3.0590,,1011.312
3.126,3.126,805137011.734,805137011.275,-0.13,10.492,0.6997,0.4300,0.4300,8.1407,5.4900,5.1420,-3.1130,,1011.312
