# iSurf Session Log
# session: synth001
# date: 20260602_165920
# mode: Standard
# devMode: false
# sampleRate: 50 Hz
# --- 6 Parameters ---
# minSpeed(m/s): 4.17
# takeoffG(g): 1.50
# landingG(g): 2.00
# minAirtime(s): 0.50
# maxAirtime(s): 8.00
# cooldown(s): 1.50
# --- Columns ---
# ax/ay/az = userAcceleration (g, gravity removed)
# gx/gy/gz = gyroscope (rad/s)
# gvX/gvY/gvZ = gravity vector (g)
# baro = barometric pressure (hPa)
# baseBaro = rolling baseline pressure (hPa)
# spd = GPS speed (m/s)
# lowG = consecutive low-g sample count
# -----------------------
idx,t,ax,ay,az,aM,gx,gy,gz,gM,gvX,gvY,gvZ,baro,baseBaro,spd,lowG,state,evt
1,0.000,-0.020,0.041,-0.018,0.049,-0.016,-0.047,-0.011,0.050,0.010,0.002,-0.996,1013.31,1013.25,8.63,0,RIDING,
2,0.020,0.015,-0.133,0.068,0.151,0.025,0.025,-0.085,0.092,-0.005,0.003,-1.000,1013.16,1013.25,8.23,0,RIDING,
3,0.040,0.042,-0.051,0.025,0.071,0.020,-0.033,0.086,0.094,-0.006,-0.007,-1.003,1013.28,1013.25,8.86,0,RIDING,
4,0.060,-0.009,0.051,0.020,0.055,-0.022,-0.048,-0.026,0.059,0.002,0.004,-1.015,1013.31,1013.25,8.26,0,RIDING,
5,0.080,0.004,0.104,-0.161,0.192,-0.016,-0.005,-0.041,0.044,-0.015,0.008,-0.993,1013.27,1013.25,8.48,0,RIDING,
6,0.100,0.076,0.115,0.029,0.141,0.006,-0.065,0.031,0.072,-0.013,-0.010,-1.005,1013.22,1013.25,8.36,0,RIDING,
7,0.120,0.103,-0.163,-0.117,0.225,0.012,0.072,0.029,0.079,0.004,-0.007,-1.011,1013.16,1013.25,7.74,0,RIDING,
8,0.140,0.078,0.088,0.013,0.118,0.012,0.022,0.080,0.084,0.005,-0.016,-0.987,1013.28,1013.25,8.66,0,RIDING,
9,0.160,0.076,0.042,-0.158,0.180,-0.032,0.042,-0.091,0.105,-0.013,0.016,-0.994,1013.24,1013.25,8.81,0,RIDING,
10,0.180,-0.012,0.026,0.052,0.059,0.006,0.057,-0.033,0.066,0.000,-0.009,-0.991,1013.23,1013.25,8.81,0,RIDING,
11,0.200,0.117,-0.036,-0.110,0.165,-0.007,-0.007,-0.015,0.018,0.013,-0.013,-1.008,1013.32,1013.25,8.19,0,RIDING,
12,0.220,0.051,0.090,0.069,0.124,0.017,0.007,0.008,0.020,0.003,0.006,-1.000,1013.28,1013.25,8.45,0,RIDING,
13,0.240,0.061,0.045,0.161,0.178,0.016,-0.021,-0.019,0.033,-0.003,0.004,-0.982,1013.25,1013.25,8.78,0,RIDING,
14,0.260,-0.205,-0.090,0.020,0.225,0.020,0.012,-0.022,0.032,-0.005,0.024,-0.996,1013.28,1013.25,8.58,0,RIDING,
15,0.280,-0.044,-0.008,-0.018,0.049,-0.003,-0.136,-0.024,0.139,-0.001,0.010,-0.991,1013.30,1013.25,8.15,0,RIDING,
16,0.300,0.119,-0.136,-0.028,0.183,-0.017,0.031,0.055,0.065,-0.014,0.007,-1.015,1013.12,1013.25,8.83,0,RIDING,
17,0.320,0.014,0.096,-0.012,0.097,0.010,0.040,0.007,0.042,0.010,-0.003,-0.973,1013.25,1013.25,8.96,0,RIDING,
18,0.340,-0.092,0.073,-0.021,0.119,0.007,0.035,0.011,0.038,-0.015,0.006,-1.010,1013.28,1013.25,8.04,0,RIDING,
19,0.360,-0.082,-0.118,0.101,0.176,0.037,0.074,-0.047,0.095,0.008,0.016,-1.009,1013.25,1013.25,8.16,0,RIDING,
20,0.380,0.125,0.079,-0.014,0.148,-0.099,0.070,-0.005,0.121,0.004,0.015,-1.010,1013.22,1013.25,8.62,0,RIDING,
21,0.400,0.091,0.119,0.116,0.190,-0.009,-0.037,0.051,0.064,0.014,-0.003,-1.023,1013.26,1013.25,8.54,0,RIDING,
22,0.420,-0.031,-0.148,0.066,0.165,0.016,-0.031,-0.000,0.034,0.013,-0.001,-0.990,1013.29,1013.25,8.52,0,RIDING,
23,0.440,0.119,0.129,-0.054,0.184,0.044,-0.094,-0.054,0.117,-0.012,-0.000,-1.002,1013.15,1013.25,8.82,0,RIDING,
24,0.460,-0.002,-0.047,0.019,0.051,0.090,0.002,0.027,0.093,-0.013,-0.006,-0.989,1013.30,1013.25,8.44,0,RIDING,
25,0.480,-0.132,-0.048,0.081,0.162,0.040,0.000,0.040,0.056,-0.016,-0.006,-0.991,1013.26,1013.25,8.15,0,RIDING,
26,0.500,-0.045,-0.072,-0.062,0.105,-0.077,-0.006,-0.059,0.097,0.003,-0.006,-1.019,1013.27,1013.25,7.79,0,RIDING,
