timestamp,accX,accY,accZ,gravX,gravY,gravZ,baro,gyrX,gyrY,gyrZ
0.0,0.556,0.693,-0.228,0.31,-0.007,9.799,1013.251,3.085,14.077,6.812
0.05,0.829,0.829,0.088,0.357,-0.139,9.835,1013.246,10.379,25.51,9.229
0.1,0.972,1.192,0.292,0.398,-0.417,9.781,1013.231,17.057,25.441,13.773
0.15,0.471,0.569,0.484,0.426,-0.567,9.658,1013.23,22.126,22.258,15.227
0.2,0.745,0.818,0.298,0.422,-0.634,9.787,1013.23,23.388,29.878,9.699
0.25,1.178,0.462,-0.049,0.427,-0.679,9.762,1013.247,23.279,32.526,15.844
0.3,0.333,0.85,-0.125,0.519,-0.741,9.7,1013.243,18.298,24.95,13.13
0.35,0.114,0.326,-0.024,0.498,-0.646,9.802,1013.241,20.839,17.414,15.147
0.4,-0.187,0.183,0.257,0.455,-0.723,9.68,1013.232,21.376,14.599,17.478
0.45,-0.037,0.621,0.351,0.532,-0.628,9.789,1013.224,22.557,9.474,25.852
0.5,0.342,0.663,0.859,0.554,-0.603,9.753,1013.236,23.265,7.852,7.052
0.55,1.001,1.331,0.406,0.51,-0.575,9.751,1013.222,21.112,7.148,16.331
0.6,0.617,1.012,0.665,0.486,-0.56,9.796,1013.21,36.611,0.835,24.991
0.65,0.12,0.641,0.63,0.467,-0.476,9.874,1013.218,35.237,2.022,19.497
0.7,0.857,-0.11,0.39,0.409,-0.484,9.777,1013.234,21.04,-1.718,20.764
0.75,0.456,0.044,0.422,0.5,-0.521,9.73,1013.233,22.022,5.879,20.216
0.8,1.202,0.038,0.314,0.472,-0.544,9.799,1013.231,20.227,8.966,20.492
0.85,0.909,0.053,0.303,0.446,-0.653,9.695,1013.231,16.43,6.735,15.522
0.9,0.903,-0.267,0.599,0.363,-0.76,9.801,1013.237,6.891,2.289,21.748
0.95,1.672,-0.582,0.668,0.313,-0.747,9.774,1013.226,-3.844,3.123,28.355
1.0,1.18,-0.203,0.615,0.399,-0.824,9.789,1013.251,-9.219,1.733,10.082
1.05,1.667,0.838,0.491,0.268,-0.753,9.721,1013.236,-17.945,-5.279,21.344
1.1,1.405,0.261,0.808,0.289,-0.813,9.694,1013.254,-21.159,-8.299,25.081
1.15,0.844,-0.417,0.61,0.222,-0.731,9.718,1013.221,-9.4,-15.622,13.087
1.2,0.476,-0.73,0.649,0.113,-0.618,9.672,1013.222,-10.884,-15.062,15.87
1.25,0.519,-0.158,0.194,0.091,-0.447,9.846,1013.26,-8.218,-22.322,15.978
1.3,0.682,-0.57,-0.006,0.136,-0.4,9.784,1013.232,-22.386,-34.213,15.885
1.35,0.222,-0.422,0.612,0.046,-0.193,9.747,1013.251,-10.721,-24.63,14.499
1.4,0.601,-0.951,0.603,-0.016,-0.003,9.784,1013.24,-18.443,-28.494,11.223
1.45,0.36,-0.544,0.169,0.015,0.204,9.782,1013.248,-25.097,-24.251,21.746
1.5,0.001,-0.522,0.551,-0.055,0.332,9.836,1013.214,-32.383,-12.551,14.944
1.55,0.379,-0.472,-0.088,-0.116,0.473,9.797,1013.26,-36.837,-12.698,17.132
1.6,-0.395,-0.187,0.476,-0.107,0.5,9.83,1013.215,-36.911,-2.853,13.007
1.65,-0.297,-0.425,-0.108,-0.207,0.607,9.792,1013.241,-27.685,0.741,5.172
1.7,-0.512,-1.226,0.525,-0.248,0.627,9.817,1013.229,-20.436,-3.857,4.77
1.75,-0.685,-0.883,-0.032,-0.243,0.637,9.808,1013.246,-13.897,-1.964,10.073
1.8,-0.509,-0.964,0.357,-0.33,0.574,9.739,1013.238,-10.54,5.576,15.272
1.85,-0.226,-0.357,0.415,-0.418,0.547,9.784,1013.258,-6.248,-4.481,0.251
1.9,0.686,-0.235,0.539,-0.391,0.484,9.77,1013.229,3.528,0.083,8.598
1.95,0.576,0.039,0.288,-0.364,0.45,9.77,1013.224,-2.708,-2.398,-1.915
2.0,0.003,-0.316,-0.065,-0.458,0.476,9.683,1013.226,7.989,-3.528,-3.188
2.05,-0.466,-0.401,0.025,-0.423,0.413,9.772,1013.229,3.232,-1.795,-0.814
2.1,0.094,-0.498,-0.043,-0.514,0.536,9.812,1013.211,2.685,-5.669,-3.164
2.15,0.252,-0.308,-0.089,-0.444,0.589,9.839,1013.237,4.016,5.018,-12.357
2.2,-0.971,0.021,-0.393,-0.544,0.532,9.676,1013.216,5.746,-3.377,-3.151
2.25,-0.718,-0.187,0.145,-0.437,0.676,9.733,1013.222,11.955,1.585,-9.727
2.3,-0.42,-0.061,-0.183,-0.461,0.807,9.76,1013.223,18.18,18.225,-8.921
2.35,-0.303,0.011,0.291,-0.528,0.88,9.731,1013.211,17.624,14.58,-4.944
2.4,0.06,1.077,-0.417,-0.483,0.89,9.708,1013.221,22.426,25.694,-16.756
2.45,-0.621,0.434,0.294,-0.464,0.915,9.747,1013.226,30.021,27.195,-14.327
2.5,-0.992,0.652,-0.245,-0.461,0.841,9.712,1013.228,36.136,30.763,-8.924
2.55,-1.869,0.13,-0.985,-0.428,0.801,9.774,1013.226,30.605,28.691,-8.55
