t,motionRel,baroRel,absAltRel,relAlt,absAlt,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.000,,,,,0.0651,1.0260,1.0260,0.2049,0.1840,-0.0890,0.0140,,
0.020,0.020,,,,,0.0413,1.0070,1.0070,0.0676,0.0620,0.0170,-0.0210,,
0.040,0.040,,804901819.739,,11.091,0.0192,0.9880,0.9880,0.0547,0.0350,0.0090,-0.0410,,
0.060,0.060,,804901819.739,,11.091,0.0429,0.9820,0.9820,0.0635,0.0400,-0.0470,0.0150,,
0.080,0.080,,804901820.073,,11.068,0.0256,0.9780,0.9780,0.0315,0.0270,-0.0150,0.0060,,
0.100,0.100,,804901820.073,,11.068,0.0294,0.9900,0.9900,0.0693,0.0620,0.0280,-0.0130,,
0.120,0.120,,804901820.073,,11.068,0.0450,0.9840,0.9840,0.0632,0.0600,0.0120,0.0160,,
0.140,0.140,,804901820.073,,11.068,0.0223,0.9830,0.9830,0.0466,0.0190,0.0170,0.0390,,
0.160,0.160,,804901820.073,,11.068,0.0180,0.9950,0.9950,0.0702,0.0010,0.0330,0.0620,,
0.180,0.180,,804901820.073,,11.068,0.0088,1.0050,1.0050,0.1163,0.0090,0.0980,-0.0620,,
0.200,0.200,,804901820.073,,11.068,0.0541,1.0030,1.0030,0.0549,0.0540,-0.0040,0.0090,,
0.220,0.220,,804901820.073,,11.068,0.0047,0.9980,0.9980,0.0618,0.0390,0.0230,0.0420,,
0.240,0.240,,804901820.073,,11.068,0.0217,0.9900,0.9900,0.0436,0.0230,0.0120,0.0350,,
0.260,0.260,,804901820.073,,11.068,0.0254,0.9850,0.9850,0.0450,-0.0010,0.0160,0.0420,,
0.280,0.280,,804901820.073,,11.068,0.0254,0.9900,0.9900,0.0459,-0.0110,0.0320,0.0310,,
0.300,0.300,,804901820.073,,11.068,0.0166,1.0000,1.0000,0.0859,0.0710,0.0370,0.0310,,
0.320,0.320,,804901820.073,,11.068,0.0188,1.0070,1.0070,0.0714,0.0690,0.0170,-0.0070,,
0.340,0.340,,804901820.073,,11.068,0.0175,1.0000,1.0000,0.0537,-0.0230,0.0470,-0.0120,,
0.360,0.360,,804901820.073,,11.068,0.0504,1.0040,1.0040,0.0842,-0.0710,0.0410,0.0190,,
0.380,0.380,,804901820.073,,11.068,0.0377,1.0060,1.0060,0.0684,-0.0520,0.0170,0.0410,,
0.400,0.400,,804901820.073,,11.068,0.0338,0.9820,0.9820,0.0967,0.0520,0.0160,0.0800,,
0.420,0.420,,804901820.073,,11.068,0.0308,1.0070,1.0070,0.0887,0.0870,0.0160,-0.0060,,
0.440,0.440,,804901820.073,,11.068,0.0211,0.9940,0.9940,0.0358,0.0160,0.0020,0.0320,,
0.460,0.460,,804901820.073,,11.068,0.0411,1.0050,1.0050,0.1342,-0.1280,0.0040,0.0400,,
0.480,0.480,,804901820.073,,11.068,0.0200,1.0080,1.0080,0.2580,-0.2550,-0.0090,-0.0380,,
