t,message
-1783874455.406,"84.019:SYNC marker: three watch haptic taps"
-1783874455.326,"84.105:v13 altitudeStreamReset reason=absoluteAccuracy acc=15.13"
-1783873787.235,"753.583:v13 altitudeSource=absoluteAltitude"
-1783873786.235,"754.580:v13 REJECT(candidate) reason=sensorWarmup"
-1783873777.234,"763.595:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873772.236,"768.582:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783873771.236,"769.585:v13 REJECT(candidate) reason=shortWindowRise rise=0.05"
-1783873770.235,"770.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.04"
-1783873769.235,"771.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783873768.234,"772.581:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783873764.232,"776.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.04"
-1783873763.206,"777.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783873760.235,"780.581:v13 REJECT(candidate) reason=shortWindowRise rise=0.04"
-1783873759.234,"781.578:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783873758.233,"782.590:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783873757.233,"783.583:v13 REJECT(candidate) reason=shortWindowRise rise=-0.00"
-1783873755.232,"785.586:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783873754.231,"786.587:v13 REJECT(candidate) reason=shortWindowRise rise=-0.04"
-1783873753.236,"787.583:v13 REJECT(candidate) reason=shortWindowRise rise=-0.05"
-1783873751.235,"789.590:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783873750.234,"790.586:v13 REJECT(candidate) reason=shortWindowRise rise=-0.02"
-1783873749.234,"791.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.00"
-1783873748.233,"792.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873747.232,"793.584:v13 REJECT(candidate) reason=shortWindowRise rise=0.01"
-1783873746.232,"794.579:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783873744.236,"796.581:v13 REJECT(candidate) reason=shortWindowRise rise=0.01"
-1783873743.235,"797.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783873742.235,"798.585:v13 REJECT(candidate) reason=shortWindowRise rise=-0.00"
-1783873741.234,"799.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783873740.234,"800.582:v13 REJECT(candidate) reason=shortWindowRise rise=-0.04"
-1783873739.233,"801.588:v13 REJECT(candidate) reason=shortWindowRise rise=-0.02"
-1783873737.232,"803.586:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783873736.236,"804.582:v13 REJECT(candidate) reason=shortWindowRise rise=-0.02"
-1783873735.236,"805.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783873734.235,"806.596:v13 REJECT(candidate) reason=shortWindowRise rise=-0.02"
-1783873733.235,"807.584:v13 REJECT(candidate) reason=shortWindowRise rise=-0.03"
-1783873732.234,"808.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.01"
-1783873731.234,"809.592:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873722.214,"818.594:v13 REJECT(candidate) reason=shortWindowRise rise=0.01"
-1783873721.233,"819.587:v13 REJECT(candidate) reason=shortWindowRise rise=0.12"
-1783873720.232,"820.585:v13 REJECT(candidate) reason=shortWindowRise rise=0.10"
-1783873719.232,"821.580:v13 REJECT(candidate) reason=shortWindowRise rise=0.12"
-1783873717.236,"823.588:v13 REJECT(candidate) reason=shortWindowRise rise=0.15"
-1783873716.235,"824.579:v13 REJECT(candidate) reason=shortWindowRise rise=0.06"
-1783873715.235,"825.578:v13 REJECT(candidate) reason=shortWindowRise rise=0.01"
-1783873714.234,"826.582:v13 REJECT(candidate) reason=shortWindowRise rise=0.03"
-1783873713.234,"827.582:v13 REJECT(candidate) reason=shortWindowRise rise=0.05"
-1783873712.233,"828.584:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783873711.232,"829.584:v13 REJECT(candidate) reason=shortWindowRise rise=0.05"
-1783873710.232,"830.583:v13 REJECT(candidate) reason=shortWindowRise rise=0.07"
-1783873708.236,"832.585:v13 REJECT(candidate) reason=shortWindowRise rise=0.02"
-1783873707.235,"833.587:v13 REJECT(candidate) reason=shortWindowRise rise=0.00"
-1783873706.235,"834.585:v13 REJECT(candidate) reason=shortWindowRise rise=-0.11"
-1783873705.234,"835.585:v13 REJECT(candidate) reason=shortWindowRise rise=-0.21"
-1783873704.234,"836.581:v13 REJECT(candidate) reason=shortWindowRise rise=-0.20"
