t,motionRel,baroRel,absAltRel,relAlt,absAlt,absAltAcc,absAltPrec,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.000,,,,,,,0.0706,0.9340,0.9340,0.0921,0.0590,-0.0630,0.0320,,
0.020,0.020,,,,,,,0.0576,0.9530,0.9530,0.1081,0.0550,-0.0850,0.0380,,
0.040,0.040,,,,,,,0.0190,1.0180,1.0180,0.0408,0.0200,-0.0220,0.0280,,
0.060,0.060,,,,,,,0.0409,1.0170,1.0170,0.0516,-0.0440,-0.0140,-0.0230,,
0.080,0.080,,,,,,,0.0361,1.0090,1.0090,0.0671,-0.0440,-0.0080,-0.0500,,
0.100,0.100,,,,,,,0.0124,0.9970,0.9970,0.0178,0.0050,0.0020,-0.0170,,
0.120,0.120,,,,,,,0.0303,0.9750,0.9750,0.0282,0.0100,-0.0230,-0.0130,,
0.140,0.140,,,,,,,0.0068,1.0030,1.0030,0.0065,0.0040,-0.0050,-0.0010,,
0.160,0.160,,,,,,,0.0135,0.9900,0.9900,0.0220,0.0120,-0.0120,0.0140,,
0.180,0.180,,,,,,,0.0160,0.9860,0.9860,0.0177,0.0120,-0.0050,0.0120,,
0.200,0.200,,,,,,,0.0081,0.9980,0.9980,0.1164,-0.0160,-0.0080,-0.1150,,
0.220,0.220,,,,,,,0.0404,1.0140,1.0140,0.1142,-0.0010,0.1110,-0.0270,,
0.240,0.240,,,,,,,0.0238,1.0060,1.0060,0.0628,0.0160,0.0330,-0.0510,,
0.260,0.260,,,,,,,0.0164,0.9920,0.9920,0.0367,-0.0040,0.0060,-0.0360,,
0.280,0.280,,,,,,,0.0189,0.9860,0.9860,0.0441,0.0070,-0.0070,-0.0430,,
0.300,0.300,,,,,,,0.0169,0.9900,0.9900,0.0389,0.0070,-0.0130,-0.0360,,
0.320,0.320,,,,,,,0.0262,1.0260,1.0260,0.0514,-0.0050,0.0510,0.0040,,
0.340,0.340,,,,,,,0.0153,1.0000,1.0000,0.0377,0.0090,0.0210,0.0300,,
0.360,0.360,,,,,,,0.0432,0.9670,0.9670,0.0553,-0.0060,-0.0550,-0.0010,,
0.380,0.380,,,,,,,0.0365,0.9820,0.9820,0.0520,0.0360,-0.0060,0.0370,,
0.400,0.400,,,,,,,0.0262,1.0150,1.0150,0.0519,0.0230,0.0440,0.0150,,
0.420,0.420,,,,,,,0.0234,1.0070,1.0070,0.0258,0.0110,0.0170,-0.0160,,
0.440,0.440,,,,,,,0.0096,0.9920,0.9920,0.0703,-0.0640,-0.0220,-0.0190,,
0.460,0.460,,,,,,,0.0130,0.9920,0.9920,0.0285,-0.0140,0.0190,0.0160,,
0.480,0.480,,,,,,,0.0187,0.9900,0.9900,0.0366,-0.0030,-0.0060,0.0360,,
0.500,0.500,,,,,,,0.0257,0.9820,0.9820,0.0546,0.0120,0.0050,0.0530,,
0.665,0.665,,,,,,,0.0230,1.0030,1.0030,0.0514,0.0030,-0.0180,-0.0480,,
0.670,0.670,,,,,,,0.0117,1.0000,1.0000,0.0490,0.0110,-0.0160,-0.0450,,
0.675,0.675,,,,,,,0.0117,1.0000,1.0000,0.0482,0.0140,-0.0140,-0.0440,,
0.680,0.680,,,,,,,0.0046,0.9960,0.9960,0.0475,0.0070,-0.0190,-0.0430,,
0.685,0.685,,,,,,,0.0046,0.9960,0.9960,0.0521,-0.0040,-0.0260,-0.0450,,
0.690,0.690,,,,,,,0.0091,0.9930,0.9930,0.0604,-0.0220,-0.0350,-0.0440,,
0.695,0.695,,,,,,,0.0091,0.9930,0.9930,0.0742,-0.0370,-0.0460,-0.0450,,
0.700,0.700,,,,,,,0.0182,0.9850,0.9850,0.0817,-0.0470,-0.0520,-0.0420,,
0.705,0.705,,,,,,,0.0182,0.9850,0.9850,0.0778,-0.0400,-0.0580,-0.0330,,
0.710,0.710,,,,,,,0.0267,0.9760,0.9760,0.0621,-0.0090,-0.0590,-0.0170,,
0.715,0.715,,,,,,,0.0263,0.9760,0.9760,0.0695,0.0360,-0.0590,-0.0070,,
0.720,0.720,,,,,,,0.0139,0.9890,0.9890,0.0767,0.0570,-0.0510,-0.0060,,
0.725,0.725,,,,,,,0.0139,0.9890,0.9890,0.0616,0.0520,-0.0330,0.0000,,
0.730,0.730,,,,,,,0.0168,1.0100,1.0100,0.0406,0.0360,-0.0180,0.0050,,
0.735,0.735,,,,,,,0.0168,1.0100,1.0100,0.0247,0.0190,-0.0090,0.0130,,
0.740,0.740,,,,,,,0.0117,1.0000,1.0000,0.0276,0.0200,-0.0060,0.0180,,
0.745,0.745,,,,,,,0.0117,1.0000,1.0000,0.0332,0.0290,-0.0020,0.0160,,
0.750,0.750,,,,,,,0.0155,1.0000,1.0000,0.0416,0.0370,0.0020,0.0190,,
0.755,0.755,,,,,,,0.0155,1.0000,1.0000,0.0465,0.0400,0.0060,0.0230,,
