t,motionRel,baroRel,absAltRel,relAlt,absAlt,absAltAcc,absAltPrec,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.000,,,,,,,0.0446,0.9790,0.9790,0.0383,-0.0100,-0.0230,0.0290,0.28,
0.020,0.020,,,,,,,0.0592,0.9680,0.9680,0.0459,0.0400,0.0210,-0.0080,0.28,
0.040,0.040,,,,,,,0.0502,0.9880,0.9880,0.0497,0.0290,0.0280,-0.0290,0.28,
0.060,0.060,,,,,,,0.0181,0.9980,0.9980,0.0428,0.0070,0.0100,-0.0410,0.28,
0.080,0.080,,,,,,,0.0263,0.9990,0.9990,0.0585,0.0420,0.0170,-0.0370,0.28,
0.100,0.100,,,,,,,0.0264,1.0130,1.0130,0.0326,0.0050,-0.0160,-0.0280,0.28,
0.120,0.120,,,,,,,0.0222,1.0180,1.0180,0.0426,-0.0120,-0.0380,-0.0150,0.28,
0.140,0.140,,,,,,,0.0206,1.0100,1.0100,0.0399,-0.0220,-0.0310,-0.0120,0.28,
0.160,0.160,,,,,,,0.0062,0.9990,0.9990,0.0737,-0.0620,-0.0350,-0.0190,0.28,
0.180,0.180,,,,,,,0.0201,0.9870,0.9870,0.0668,-0.0500,-0.0400,-0.0190,0.28,
0.200,0.200,,,,,,,0.0239,0.9800,0.9800,0.0495,0.0420,0.0080,-0.0250,0.28,
0.220,0.220,,,,,,,0.0278,0.9830,0.9830,0.0473,0.0350,0.0230,-0.0220,0.28,
0.240,0.240,,,,,,,0.0223,0.9930,0.9930,0.0450,-0.0440,0.0090,0.0030,0.28,
0.260,0.260,,,,,,,0.0376,0.9890,0.9890,0.0903,-0.0850,-0.0120,0.0280,0.28,
0.281,0.281,,,,,,,0.0233,0.9860,0.9860,0.0464,-0.0280,0.0000,0.0370,0.28,
0.301,0.301,,,,,,,0.0128,0.9900,0.9900,0.0485,0.0220,0.0290,0.0320,0.28,
0.321,0.321,,,,,,,0.0152,0.9900,0.9900,0.0474,-0.0180,0.0320,0.0300,0.28,
0.341,0.341,,,,,,,0.0095,0.9950,0.9950,0.0877,-0.0830,0.0200,0.0200,0.28,
0.361,0.361,,,,,,,0.0164,0.9900,0.9900,0.0640,-0.0600,0.0210,0.0070,0.28,
0.381,0.381,,,,,,,0.0144,0.9930,0.9930,0.0300,0.0130,0.0270,0.0000,0.28,
0.401,0.401,,,,,,,0.0103,1.0050,1.0050,0.0326,0.0280,0.0160,0.0050,0.28,
0.421,0.421,,,,,,,0.0032,1.0010,1.0010,0.0249,0.0150,0.0190,0.0060,0.28,
