t,message
-1785059697.360,"104793.967:SYNC marker: three watch haptic taps; 104793.975:Absolute altitude acquisition: onDemand (stream off until a jump window opens)"
-1785059687.830,"104805.314:v14 absoluteWindow OPEN reason=takeoff t=104804.20"
-1785059686.577,"104805.316:v14 CANDIDATE takeoff=104804.20 baseline=n/a pop=true; 104805.317:v14 TOUCHDOWN loadReturn air=0.44"
-1785059682.819,"104810.303:v14 absoluteWindow CLOSE reason=stableBaseline; 104810.304:v14 REJECT reason=belowMinRise h=0.13 min=1.00 src=imuIntegrated via=stableBaseline"
-1785059681.567,"104810.308:Absolute altitude window closed (stableBaseline)"
-1785059655.245,"104837.309:v14 absoluteWindow OPEN reason=takeoff t=104836.83; 104837.309:v14 CANDIDATE takeoff=104836.83 baseline=n/a pop=true"
-1785059653.992,"104838.308:v14 TOUCHDOWN loadReturn air=0.36"
-1785059648.981,"104843.312:v14 absoluteWindow CLOSE reason=confirmTimeout; 104843.312:v14 REJECT reason=airtimeTooShort air=0.36 via=confirmTimeout; 104843.313:Absolute altitude window closed (confirmTimeout)"
-1785059647.729,"104844.312:v14 absoluteWindow OPEN reason=takeoff t=104843.52; 104844.312:v14 CANDIDATE takeoff=104843.52 baseline=-8.93 pop=true; 104844.312:v14 TOUCHDOWN impact=1.97g air=0.40"
-1785059641.465,"104850.314:v14 absoluteWindow CLOSE reason=confirmTimeout; 104850.315:v14 REJECT reason=belowMinRise h=0.20 min=1.00 src=ballistic via=confirmTimeout; 104850.320:Absolute altitude window closed (confirmTimeout)"
-1785059603.859,"104888.308:v14 absoluteWindow OPEN reason=takeoff t=104886.97; 104888.308:v14 CANDIDATE takeoff=104886.97 baseline=-15.89 pop=true; 104888.309:v14 TOUCHDOWN impact=2.21g air=0.41"
-1785059598.848,"104894.310:v14 absoluteWindow CLOSE reason=confirmTimeout"
-1785059597.596,"104894.314:v14 REJECT reason=belowMinRise h=0.09 min=1.00 src=imuIntegrated via=confirmTimeout; 104894.317:Absolute altitude window closed (confirmTimeout)"
-1785059544.951,"104947.313:v14 absoluteWindow OPEN reason=takeoff t=104946.33; 104947.317:v14 CANDIDATE takeoff=104946.33 baseline=-28.19 pop=true; 104947.320:v14 TOUCHDOWN loadReturn air=0.49"
-1785059541.192,"104951.311:v14 absoluteWindow CLOSE reason=stableBaseline; 104951.314:v14 REJECT reason=belowMinRise h=0.18 min=1.00 src=imuIntegrated via=stableBaseline; 104951.316:Absolute altitude window closed (stableBaseline)"
-1785059430.063,"107189.233:JumpDetector(v14) endSession flush lateJumps=0"
