t,message
-1785059697.360,"6267.131:SYNC marker: three watch haptic taps; 6267.135:Absolute altitude acquisition: continuous single-consumer, no watchdog restarts; 6267.208:v15 BARO abs drop reason=degradedAccuracy acc=23.18"
-1785059685.210,"6279.700:v15 CANDIDATE t0=6278.61 yank=1.23g quietAt=6279.51 B(abs)=n/a B(rel)=0.30; 6280.697:v15 IMPACT pending=2.71g air=1.68"
-1785059682.706,"6282.691:v15 IMPACT discarded=3.94g — early mid-flight jolt (quiet resumed)"
-1785059681.454,"6283.694:v15 IMPACT pending=2.12g air=4.87"
-1785059680.202,"6284.700:v15 LANDING impact+noRiseAbort impact=2.12g air=4.87; 6284.702:v15 REJECT reason=ballisticWithoutBaroLanding hBal=2.33 air=4.87; 6284.702:v15 REJECT reason=rescueNeedsMeasuredHeight hBal=2.14 air=3.89; 6284.702:v15 REJECT reason=rescueNeedsMeasuredHeight hBal=2.03 air=3.15; 6284.702:v15 REJECT reason=rescueNeedsMeasuredHeight hBal=1.74 air=2.01; 6284.703:v15 CANDIDATE t0=6281.47 yank=3.54g quietAt=6284.50 B(abs)=n/a B(rel)=0.27; 6284.998:v15 BARO abs drop reason=degradedAccuracy acc=23.18"
-1785059678.950,"6286.703:v15 LANDING noRiseAbort-softClose impact=0.00g air=5.00"
-1785059677.698,"6287.697:v15 REJECT reason=ballisticNeedsImpact hBal=2.85 air=5.00; 6287.697:v15 REJECT reason=rescueNeedsMeasuredHeight hBal=2.55 air=4.49; 6287.697:v15 REJECT reason=rescueNeedsMeasuredHeight hBal=2.44 air=3.75; 6287.698:v15 CANDIDATE t0=6284.07 yank=2.60g quietAt=6287.48 B(abs)=n/a B(rel)=0.21; 6287.991:v15 BARO abs drop reason=degradedAccuracy acc=23.18"
-1785059675.193,"6290.695:v15 LANDING noRiseAbort-softClose impact=0.00g air=5.45; 6291.318:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059673.941,"6291.697:v15 REJECT reason=ballisticNeedsImpact hBal=2.37 air=5.45; 6291.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.69; 6291.988:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6292.696:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.82"
-1785059672.689,"6292.981:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6293.689:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.82"
-1785059671.437,"6293.982:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6294.697:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.82"
-1785059670.185,"6294.984:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6295.692:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.93; 6295.978:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059668.933,"6296.693:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.93; 6296.978:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6297.691:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.93"
-1785059667.681,"6297.969:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6298.687:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.74"
-1785059666.429,"6298.971:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6299.688:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.74"
-1785059665.177,"6299.972:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6300.696:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.74; 6300.964:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059662.672,"6302.703:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.23; 6302.965:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059661.420,"6303.693:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.23; 6303.960:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059660.168,"6304.695:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.10; 6304.961:v15 BARO abs drop reason=degradedAccuracy acc=23.19; 6305.698:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.10; 6305.963:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
-1785059658.916,"6306.702:v15 REJECT(open) reason=gpsSpeedBelowRiding spd=0.10; 6306.956:v15 BARO abs drop reason=degradedAccuracy acc=23.19"
