t,motionRel,baroRel,absAltRel,relAlt,absAlt,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.000,,,,,0.0301,1.0130,1.0130,0.0351,-0.0320,-0.0030,0.0140,,
0.020,0.020,,,,,0.0393,0.9820,0.9820,0.0499,-0.0420,-0.0230,0.0140,,
0.040,0.040,,804899231.434,,10.974,0.0081,0.9950,0.9950,0.0217,-0.0060,-0.0170,0.0120,,
0.060,0.060,,804899231.434,,10.974,0.0093,0.9940,0.9940,0.0231,-0.0160,-0.0090,0.0140,,
0.080,0.080,,804899231.434,,10.974,0.0162,0.9850,0.9850,0.0470,-0.0440,0.0150,0.0070,,
0.100,0.100,,804899231.434,,10.974,0.0114,0.9920,0.9920,0.0453,-0.0420,0.0130,0.0110,,
0.120,0.120,,804899231.434,,10.974,0.0158,1.0130,1.0130,0.0156,0.0000,0.0100,0.0120,,
0.140,0.140,,804899231.434,,10.974,0.0130,1.0110,1.0110,0.0115,0.0060,0.0090,-0.0040,,
0.160,0.160,,804899231.434,,10.974,0.0145,0.9980,0.9980,0.0320,-0.0310,0.0000,-0.0080,,
0.180,0.180,,804899231.434,,10.974,0.0128,0.9930,0.9930,0.0318,-0.0300,-0.0080,-0.0070,,
0.200,0.200,,804899231.434,,10.974,0.0076,1.0030,1.0030,0.0305,-0.0240,0.0170,-0.0080,,
0.220,0.220,,804899231.434,,10.974,0.0169,0.9950,0.9950,0.0901,-0.0240,0.0500,-0.0710,,
0.240,0.240,,804899231.434,,10.974,0.0549,0.9860,0.9860,0.0383,-0.0320,0.0010,-0.0210,,
0.260,0.260,,804899231.434,,10.974,0.0217,0.9900,0.9900,0.0298,-0.0210,0.0180,-0.0110,,
0.280,0.280,,804899231.434,,10.974,0.0112,1.0110,1.0110,0.0189,-0.0090,0.0140,-0.0090,,
0.300,0.300,,804899231.434,,10.974,0.0136,1.0040,1.0040,0.0250,-0.0250,0.0000,0.0010,,
0.320,0.320,,804899231.434,,10.974,0.0112,1.0010,1.0010,0.0411,-0.0250,-0.0290,0.0150,,
0.340,0.340,,804899231.434,,10.974,0.0091,0.9990,0.9990,0.0449,-0.0110,-0.0370,0.0230,,
0.360,0.360,,804899231.434,,10.974,0.0116,1.0020,1.0020,0.1011,0.0290,-0.0790,-0.0560,,
0.380,0.380,,804899231.434,,10.974,0.0270,0.9980,0.9980,0.0328,-0.0150,-0.0270,-0.0110,,
0.400,0.400,,804899231.434,,10.974,0.0149,0.9940,0.9940,0.0623,-0.0590,0.0090,-0.0180,,
0.420,0.420,,804899231.434,,10.974,0.0187,0.9900,0.9900,0.0363,-0.0360,0.0020,-0.0040,,
0.440,0.440,,804899231.434,,10.974,0.0022,0.9980,0.9980,0.0177,-0.0050,-0.0080,0.0150,,
0.460,0.460,,804899231.434,,10.974,0.0062,0.9970,0.9970,0.0439,0.0330,-0.0210,0.0200,,
0.480,0.480,,804899231.434,,10.974,0.0041,0.9960,0.9960,0.0321,0.0260,-0.0100,0.0160,,
0.500,0.500,,804899231.434,,10.974,0.0057,0.9960,0.9960,0.0200,0.0160,0.0010,0.0120,,
0.520,0.520,,804899231.768,,10.979,0.0062,0.9950,0.9950,0.0355,0.0010,0.0350,0.0060,,
0.540,0.540,,804899231.768,,10.979,0.0287,0.9920,0.9920,0.0024,-0.0010,-0.0020,-0.0010,,
0.560,0.560,,804899231.768,,10.979,0.0331,0.9760,0.9760,0.0320,-0.0280,0.0040,-0.0150,,
0.580,0.580,,804899231.768,,10.979,0.0095,0.9960,0.9960,0.0059,0.0050,0.0030,0.0010,,
0.600,0.600,,804899232.103,,10.993,0.0071,1.0070,1.0070,0.0154,0.0140,-0.0060,0.0020,,
0.620,0.620,,804899232.103,,10.993,0.0110,1.0040,1.0040,0.0131,-0.0110,0.0010,0.0070,,
0.640,0.640,,804899232.103,,10.993,0.0096,1.0050,1.0050,0.0030,-0.0020,0.0010,0.0020,,
0.660,0.660,,804899232.103,,10.993,0.0073,0.9940,0.9940,0.0128,0.0000,-0.0100,0.0080,,
