t,motionRel,baroRel,absAltRel,relAlt,absAlt,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.000,,,,,0.0396,1.0060,1.0060,0.9312,-0.0730,-0.1570,0.9150,,
0.020,0.020,,,,,0.1192,1.0070,1.0070,0.9962,-0.0100,-0.2800,0.9560,,
0.040,0.040,,,,,0.0548,1.0370,1.0370,0.8683,0.0210,-0.2190,0.8400,,
0.060,0.060,,804903761.138,,12.286,0.0316,0.9990,0.9990,0.8368,-0.0690,-0.2250,0.8030,,
0.080,0.080,,804903761.138,,12.286,0.0604,1.0020,1.0020,0.8945,-0.0320,-0.3270,0.8320,,
0.100,0.100,,804903761.138,,12.286,0.0784,1.0120,1.0120,0.8929,-0.0410,-0.3440,0.8230,,
0.120,0.120,,804903761.138,,12.286,0.0309,1.0180,1.0180,0.8224,-0.0840,-0.2900,0.7650,,
0.140,0.140,,804903761.138,,12.286,0.0584,1.0440,1.0440,0.8525,-0.0420,-0.3100,0.7930,,
0.160,0.160,,804903761.138,,12.286,0.0889,1.0500,1.0500,0.8436,-0.0850,-0.3100,0.7800,,
0.180,0.180,,804903761.138,,12.286,0.0505,1.0310,1.0310,0.7936,-0.0330,-0.2950,0.7360,,
0.200,0.200,,804903761.138,,12.286,0.0711,1.0480,1.0480,0.7561,-0.0280,-0.2870,0.6990,,
0.220,0.220,,804903761.138,,12.286,0.0961,1.0850,1.0850,0.7444,-0.0030,-0.2420,0.7040,,
0.240,0.240,,804903761.138,,12.286,0.1154,1.1060,1.1060,0.8791,0.1160,-0.3030,0.8170,,
0.260,0.260,,804903761.138,,12.286,0.0838,1.0450,1.0450,0.9556,0.0980,-0.3030,0.9010,,
0.280,0.280,,804903761.138,,12.286,0.0350,0.9940,0.9940,0.9050,-0.0580,-0.2030,0.8800,,
0.300,0.300,,804903761.138,,12.286,0.0881,1.0090,1.0090,0.8839,-0.1790,-0.1530,0.8520,,
0.320,0.320,,804903761.138,,12.286,0.0860,1.0000,1.0000,0.9056,-0.1320,-0.2180,0.8690,,
0.340,0.340,,804903761.138,,12.286,0.0589,0.9650,0.9650,0.8227,-0.0840,-0.2570,0.7770,,
0.360,0.360,,804903761.138,,12.286,0.1148,0.9170,0.9170,0.7448,-0.0980,-0.2730,0.6860,,
0.380,0.380,,804903761.138,,12.286,0.1630,0.8860,0.8860,0.5153,-0.2330,-0.1540,0.4330,,
0.400,0.400,,804903761.138,,12.286,0.1690,0.9040,0.9040,0.3996,-0.1540,-0.0840,0.3590,,
0.420,0.420,,804903761.138,,12.286,0.1948,0.9900,0.9900,0.2208,-0.1430,0.1080,0.1290,,
0.440,0.440,,804903761.473,,12.296,0.2006,1.0830,1.0830,0.3432,-0.2140,0.2400,-0.1200,,
0.460,0.460,,804903761.473,,12.296,0.1959,1.1360,1.1360,0.4539,-0.3100,0.1980,-0.2660,,
0.786,0.786,,804903762.476,,12.317,0.1981,1.1100,1.1100,2.0343,-0.0670,-0.0290,-2.0330,,
0.791,0.791,,804903762.476,,12.317,0.1978,1.1100,1.1100,2.0644,-0.0130,-0.0410,-2.0640,,
0.796,0.796,,804903762.476,,12.317,0.1946,1.0880,1.0880,2.0841,0.0460,-0.0480,-2.0830,,
