t,motionRel,baroRel,absAltRel,relAlt,absAlt,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.000,,,,,0.0210,0.9800,0.9800,0.0645,-0.0600,0.0090,0.0220,,
0.020,0.020,,,,,0.0162,0.9920,0.9920,0.1181,0.1120,-0.0100,0.0360,,
0.040,0.040,,,,,0.0252,1.0130,1.0130,0.0442,-0.0440,0.0040,-0.0010,,
0.060,0.060,,804900636.001,,10.457,0.0724,0.9720,0.9720,0.1113,-0.1110,-0.0080,0.0020,,
0.080,0.080,,804900636.001,,10.457,0.0221,0.9980,0.9980,0.0574,-0.0520,-0.0150,0.0190,,
0.100,0.100,,804900636.001,,10.457,0.0144,0.9940,0.9940,0.0313,0.0070,-0.0260,0.0160,,
0.120,0.120,,804900636.001,,10.457,0.0128,0.9930,0.9930,0.0221,-0.0020,0.0140,0.0170,,
0.140,0.140,,804900636.001,,10.457,0.0220,0.9920,0.9920,0.0609,0.0400,0.0440,0.0130,,
0.160,0.160,,804900636.001,,10.457,0.0327,1.0140,1.0140,0.0885,0.0690,0.0520,-0.0190,,
0.180,0.180,,804900636.001,,10.457,0.0094,0.9960,0.9960,0.0831,-0.0070,0.0390,-0.0730,,
0.200,0.200,,804900636.001,,10.457,0.0509,0.9920,0.9920,0.0830,-0.0740,-0.0370,0.0060,,
0.220,0.220,,804900636.001,,10.457,0.0471,1.0130,1.0130,0.0720,-0.0390,-0.0560,0.0230,,
0.240,0.240,,804900636.001,,10.457,0.0114,1.0110,1.0110,0.0578,-0.0170,-0.0470,0.0290,,
0.260,0.260,,804900636.001,,10.457,0.0090,0.9960,0.9960,0.0339,0.0090,-0.0250,0.0210,,
0.280,0.280,,804900636.001,,10.457,0.0170,0.9880,0.9880,0.0173,0.0150,0.0050,0.0070,,
0.300,0.300,,804900636.001,,10.457,0.0121,0.9930,0.9930,0.0248,0.0000,0.0170,-0.0180,,
0.320,0.320,,804900636.001,,10.457,0.0146,0.9880,0.9880,0.0222,-0.0090,0.0110,-0.0170,,
0.340,0.340,,804900636.001,,10.457,0.0132,0.9980,0.9980,0.0724,-0.0340,0.0220,-0.0600,,
0.360,0.360,,804900636.001,,10.457,0.0451,1.0050,1.0050,0.0306,-0.0260,-0.0150,-0.0060,,
0.380,0.380,,804900636.001,,10.457,0.0236,1.0050,1.0050,0.0277,0.0040,-0.0150,0.0230,,
0.400,0.400,,804900636.336,,10.437,0.0042,0.9990,0.9990,0.0456,0.0350,-0.0230,0.0180,,
0.420,0.420,,804900636.336,,10.437,0.0042,1.0040,1.0040,0.0211,0.0200,-0.0030,0.0060,,
0.440,0.440,,804900636.336,,10.437,0.0118,0.9890,0.9890,0.0125,0.0120,0.0030,0.0020,,
0.460,0.460,,804900636.336,,10.437,0.0092,0.9910,0.9910,0.0448,-0.0370,0.0140,-0.0210,,
0.480,0.480,,804900636.336,,10.437,0.0249,0.9810,0.9810,0.0321,-0.0310,0.0020,-0.0080,,
0.500,0.500,,804900636.336,,10.437,0.0110,1.0070,1.0070,0.0055,0.0050,-0.0020,-0.0010,,
0.520,0.520,,804900636.336,,10.437,0.0087,1.0050,1.0050,0.1227,0.0170,0.0660,-0.1020,,
0.540,0.540,,804900636.336,,10.437,0.0219,0.9940,0.9940,0.0199,0.0130,0.0150,0.0010,,
0.624,0.624,,804900637.005,,10.375,0.0022,0.9990,0.9990,0.0191,0.0130,0.0050,0.0130,,
0.629,0.629,,804900637.005,,10.375,0.0084,1.0030,1.0030,0.0244,0.0200,0.0010,0.0140,,
0.634,0.634,,804900637.005,,10.375,0.0078,1.0030,1.0030,0.0288,0.0250,-0.0030,0.0140,,
0.639,0.639,,804900637.005,,10.375,0.0162,1.0040,1.0040,0.0297,0.0260,-0.0030,0.0140,,
0.644,0.644,,804900637.005,,10.375,0.0162,1.0040,1.0040,0.0308,0.0270,-0.0050,0.0140,,
0.649,0.649,,804900637.005,,10.375,0.0107,0.9990,0.9990,0.0293,0.0240,-0.0050,0.0160,,
0.654,0.654,,804900637.005,,10.375,0.0099,0.9990,0.9990,0.0262,0.0210,-0.0070,0.0140,,
0.659,0.659,,804900637.005,,10.375,0.0085,0.9940,0.9940,0.0223,0.0170,-0.0080,0.0120,,
0.664,0.664,,804900637.005,,10.375,0.0079,0.9940,0.9940,0.0208,0.0150,-0.0080,0.0120,,
0.669,0.669,,804900637.005,,10.375,0.0119,0.9910,0.9910,0.0205,0.0160,-0.0080,0.0100,,
0.674,0.674,,804900637.005,,10.375,0.0114,0.9910,0.9910,0.0188,0.0160,-0.0040,0.0090,,
0.679,0.679,,804900637.005,,10.375,0.0099,0.9930,0.9930,0.0105,0.0100,-0.0030,0.0010,,
0.684,0.684,,804900637.005,,10.375,0.0099,0.9930,0.9930,0.0044,0.0030,-0.0010,-0.0030,,
0.689,0.689,,804900637.005,,10.375,0.0062,0.9990,0.9990,0.0028,0.0020,0.0000,-0.0020,,
0.694,0.694,,804900637.005,,10.375,0.0062,0.9990,0.9990,0.0020,0.0000,0.0000,0.0020,,
0.699,0.699,,804900637.005,,10.375,0.0042,0.9990,0.9990,0.0024,-0.0010,-0.0010,0.0020,,
0.704,0.704,,804900637.005,,10.375,0.0042,0.9990,0.9990,0.0066,-0.0060,-0.0020,0.0020,,
0.709,0.709,,804900637.005,,10.375,0.0077,0.9970,0.9970,0.0054,-0.0040,-0.0020,0.0030,,
0.714,0.714,,804900637.005,,10.375,0.0077,0.9970,0.9970,0.0051,0.0010,0.0000,0.0050,,
0.719,0.719,,804900637.005,,10.375,0.0062,0.9980,0.9980,0.0094,0.0070,-0.0020,0.0060,,
0.724,0.724,,804900637.005,,10.375,0.0062,0.9980,0.9980,0.0136,0.0100,-0.0060,0.0070,,
0.729,0.729,,804900637.005,,10.375,0.0022,1.0000,1.0000,0.0162,0.0120,-0.0090,0.0060,,
0.734,0.734,,804900637.005,,10.375,0.0022,1.0000,1.0000,0.0154,0.0110,-0.0090,0.0060,,
0.739,0.739,,804900637.005,,10.375,0.0064,0.9960,0.9960,0.0119,0.0050,-0.0100,0.0040,,
0.744,0.744,,804900637.005,,10.375,0.0064,0.9960,0.9960,0.0124,0.0030,-0.0110,0.0050,,
0.749,0.749,,804900637.005,,10.375,0.0110,0.9930,0.9930,0.0139,0.0030,-0.0110,0.0080,,
0.754,0.754,,804900637.005,,10.375,0.0105,0.9930,0.9930,0.0122,0.0020,-0.0090,0.0080,,
0.759,0.759,,804900637.005,,10.375,0.0107,0.9960,0.9960,0.0122,0.0060,-0.0080,0.0070,,
0.764,0.764,,804900637.005,,10.375,0.0107,0.9960,0.9960,0.0117,0.0080,-0.0080,0.0030,,
0.769,0.769,,804900637.005,,10.375,0.0042,0.9990,0.9990,0.0140,0.0130,-0.0050,0.0010,,
0.774,0.774,,804900637.005,,10.375,0.0042,0.9990,0.9990,0.0136,0.0130,-0.0040,0.0000,,
0.779,0.779,,804900637.005,,10.375,0.0042,0.9990,0.9990,0.0121,0.0120,-0.0010,-0.0010,,
0.784,0.784,,804900637.005,,10.375,0.0042,0.9990,0.9990,0.0058,0.0050,0.0000,-0.0030,,
0.789,0.789,,804900637.005,,10.375,0.0095,0.9930,0.9930,0.0047,-0.0030,0.0020,-0.0030,,
0.794,0.794,,804900637.005,,10.375,0.0095,0.9930,0.9930,0.0124,-0.0090,0.0060,-0.0060,,
0.799,0.799,,804900637.005,,10.375,0.0145,0.9920,0.9920,0.0167,-0.0100,0.0120,-0.0060,,
0.804,0.804,,804900637.005,,10.375,0.0145,0.9920,0.9920,0.0163,-0.0110,0.0110,-0.0050,,
0.809,0.809,,804900637.005,,10.375,0.0122,0.9950,0.9950,0.0112,-0.0060,0.0080,-0.0050,,
0.814,0.814,,804900637.005,,10.375,0.0122,0.9950,0.9950,0.0081,-0.0020,0.0050,-0.0060,,
0.819,0.819,,804900637.005,,10.375,0.0088,0.9970,0.9970,0.0068,-0.0030,0.0060,-0.0010,,
0.824,0.824,,804900637.005,,10.375,0.0088,0.9970,0.9970,0.0041,-0.0040,0.0010,0.0000,,
0.829,0.829,,804900637.005,,10.375,0.0099,0.9970,0.9970,0.0022,-0.0010,0.0020,0.0000,,
0.834,0.834,,804900637.005,,10.375,0.0099,0.9970,0.9970,0.0036,0.0020,0.0030,0.0000,,
0.839,0.839,,804900637.005,,10.375,0.0101,0.9930,0.9930,0.0093,0.0070,0.0060,0.0010,,
0.844,0.844,,804900637.005,,10.375,0.0101,0.9930,0.9930,0.0131,0.0130,0.0010,0.0010,,
0.849,0.849,,804900637.005,,10.375,0.0091,0.9910,0.9910,0.0170,0.0170,-0.0010,0.0000,,
0.854,0.854,,804900637.005,,10.375,0.0091,0.9910,0.9910,0.0200,0.0200,-0.0010,0.0000,,
0.859,0.859,,804900637.005,,10.375,0.0114,0.9920,0.9920,0.0161,0.0160,0.0010,0.0010,,
0.864,0.864,,804900637.005,,10.375,0.0114,0.9920,0.9920,0.0136,0.0130,0.0040,-0.0010,,
0.869,0.869,,804900637.005,,10.375,0.0146,0.9900,0.9900,0.0152,0.0140,0.0060,0.0000,,
0.874,0.874,,804900637.005,,10.375,0.0146,0.9900,0.9900,0.0202,0.0180,0.0090,0.0020,,
0.879,0.879,,804900637.005,,10.375,0.0081,0.9950,0.9950,0.0260,0.0240,0.0100,0.0010,,
0.884,0.884,,804900637.005,,10.375,0.0081,0.9950,0.9950,0.0266,0.0240,0.0110,0.0030,,
0.889,0.889,,804900637.005,,10.375,0.0017,1.0010,1.0010,0.0266,0.0220,0.0150,0.0010,,
0.894,0.894,,804900637.005,,10.375,0.0014,1.0000,1.0000,0.0249,0.0170,0.0180,-0.0030,,
0.899,0.899,,804900637.005,,10.375,0.0052,1.0010,1.0010,0.0214,0.0130,0.0170,0.0000,,
0.904,0.904,,804900637.005,,10.375,0.0052,1.0010,1.0010,0.0184,0.0040,0.0180,0.0000,,
0.909,0.909,,804900637.005,,10.375,0.0125,1.0030,1.0030,0.0203,-0.0060,0.0190,-0.0040,,
0.914,0.914,,804900637.005,,10.375,0.0125,1.0030,1.0030,0.0258,-0.0170,0.0190,-0.0040,,
0.919,0.919,,804900637.005,,10.375,0.0123,1.0020,1.0020,0.0314,-0.0240,0.0190,-0.0070,,
0.924,0.924,,804900637.005,,10.375,0.0123,1.0020,1.0020,0.0302,-0.0240,0.0160,-0.0090,,
0.929,0.929,,804900637.005,,10.375,0.0057,0.9990,0.9990,0.0301,-0.0220,0.0180,-0.0100,,
0.934,0.934,,804900637.005,,10.375,0.0057,0.9990,0.9990,0.0267,-0.0180,0.0170,-0.0100,,
0.939,0.939,,804900637.005,,10.375,0.0044,1.0030,1.0030,0.0217,-0.0100,0.0170,-0.0090,,
0.944,0.944,,804900637.005,,10.375,0.0044,1.0030,1.0030,0.0215,-0.0080,0.0160,-0.0120,,
0.949,0.949,,804900637.005,,10.375,0.0057,1.0020,1.0020,0.0227,-0.0110,0.0130,-0.0150,,
0.954,0.954,,804900637.005,,10.375,0.0057,1.0020,1.0020,0.0242,-0.0120,0.0090,-0.0190,,
0.959,0.959,,804900637.005,,10.375,0.0106,0.9960,0.9960,0.0261,-0.0140,0.0000,-0.0220,,
0.964,0.964,,804900637.005,,10.375,0.0106,0.9960,0.9960,0.0247,-0.0140,-0.0040,-0.0200,,
