t,motionRel,baroRel,absAltRel,relAlt,absAlt,absAltAcc,absAltPrec,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.000,,,,,,,0.0472,1.0200,1.0200,0.2559,0.2450,-0.0370,-0.0640,,
0.020,0.020,,,,,,,0.0176,0.9830,0.9830,0.1273,0.1250,-0.0220,-0.0100,,
0.040,0.040,,,,,,,0.0351,0.9670,0.9670,0.0787,0.0410,-0.0280,0.0610,,
0.060,0.060,,805153268.945,,7.149,8.242,0.5,0.0182,0.9910,0.9910,0.0996,0.0240,-0.0400,0.0880,,
0.080,0.080,,805153268.945,,7.149,8.242,0.5,0.0114,1.0030,1.0030,0.1561,0.0260,-0.0240,0.1520,,
0.100,0.100,,805153268.945,,7.149,8.242,0.5,0.0235,1.0230,1.0230,0.1465,0.1250,0.0070,0.0760,,
0.120,0.120,,805153268.945,,7.149,8.242,0.5,0.0226,1.0110,1.0110,0.1009,0.0980,0.0240,0.0020,,
0.140,0.140,,805153268.945,,7.149,8.242,0.5,0.0244,0.9810,0.9810,0.0356,-0.0020,0.0190,-0.0300,,
0.160,0.160,,805153268.945,,7.149,8.242,0.5,0.0099,0.9950,0.9950,0.0389,-0.0230,0.0160,-0.0270,,
0.180,0.180,,805153268.945,,7.149,8.242,0.5,0.0132,1.0020,1.0020,0.0609,-0.0600,0.0080,-0.0070,,
0.200,0.200,,805153268.945,,7.149,8.242,0.5,0.0114,1.0010,1.0010,0.0636,-0.0360,0.0070,-0.0520,,
0.220,0.220,,805153268.945,,7.149,8.242,0.5,0.0137,1.0030,1.0030,0.0544,0.0130,0.0090,-0.0520,,
0.240,0.240,,805153268.945,,7.149,8.242,0.5,0.0135,1.0020,1.0020,0.1607,0.0130,-0.0950,0.1290,,
0.260,0.260,,805153268.945,,7.149,8.242,0.5,0.0310,1.0090,1.0090,0.0747,0.0700,0.0230,-0.0120,,
0.280,0.280,,805153268.945,,7.149,8.242,0.5,0.0304,1.0210,1.0210,0.1403,0.1250,0.0150,-0.0620,,
0.300,0.300,,805153268.945,,7.149,8.242,0.5,0.0153,0.9940,0.9940,0.0662,0.0510,0.0410,0.0100,,
0.320,0.320,,805153268.945,,7.149,8.242,0.5,0.0267,0.9920,0.9920,0.2459,0.2440,0.0190,0.0240,,
0.340,0.340,,805153268.945,,7.149,8.242,0.5,0.0542,1.0380,1.0380,0.4223,0.4190,-0.0290,0.0440,,
0.360,0.360,,805153268.945,,7.149,8.242,0.5,0.0515,1.0220,1.0220,0.5907,0.5620,-0.0720,0.1670,,
0.380,0.380,,805153268.945,,7.149,8.242,0.5,0.0779,1.0110,1.0110,0.3127,0.3030,-0.0770,-0.0040,,
0.400,0.400,,805153268.945,,7.149,8.242,0.5,0.0899,0.9640,0.9640,0.0819,0.0610,0.0260,0.0480,,
0.420,0.420,,805153268.945,,7.149,8.242,0.5,0.0513,0.9930,0.9930,0.0419,-0.0380,-0.0130,-0.0120,,
0.440,0.440,,805153268.945,,7.149,8.242,0.5,0.0486,1.0270,1.0270,0.1201,0.1080,-0.0520,0.0080,,
0.460,0.460,,805153268.945,,7.149,8.242,0.5,0.0236,1.0070,1.0070,0.1569,0.1480,-0.0520,-0.0030,,
0.480,0.480,,805153268.945,,7.149,8.242,0.5,0.0130,0.9910,0.9910,0.1098,0.1030,-0.0370,-0.0090,,
0.500,0.500,,805153268.945,,7.149,8.242,0.5,0.0219,0.9790,0.9790,0.0966,0.0850,-0.0450,0.0090,,
0.520,0.520,,805153268.945,,7.149,8.242,0.5,0.0266,0.9910,0.9910,0.0538,0.0310,-0.0160,0.0410,,
0.540,0.540,,805153268.945,,7.149,8.242,0.5,0.0381,0.9950,0.9950,0.0555,0.0220,0.0000,0.0510,,
0.560,0.560,,805153268.945,,7.149,8.242,0.5,0.0239,0.9890,0.9890,0.0555,0.0090,-0.0090,0.0540,,
0.580,0.580,,805153269.280,,7.168,8.242,0.5,0.0538,0.9830,0.9830,0.1013,-0.0240,0.0090,0.0980,,
0.600,0.600,,805153269.280,,7.168,8.242,0.5,0.0228,0.9920,0.9920,0.0793,0.0160,0.0100,0.0770,,
0.620,0.620,,805153269.280,,7.168,8.242,0.5,0.0313,1.0140,1.0140,0.1624,0.1430,-0.0300,0.0710,,
0.640,0.640,,805153269.280,,7.168,8.242,0.5,0.0314,1.0200,1.0200,0.1578,0.1270,-0.0370,0.0860,,
0.660,0.660,,805153269.280,,7.168,8.242,0.5,0.0269,1.0040,1.0040,0.0861,0.0080,-0.0250,0.0820,,
