t,motionRel,baroRel,absAltRel,relAlt,absAlt,absAltAcc,absAltPrec,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.000,,,,,,,0.1658,0.9880,0.9880,1.3510,0.0350,0.1760,-1.3390,,
0.020,0.020,,,,,,,0.1627,0.9540,0.9540,1.3904,-0.0420,0.1950,-1.3760,,
0.040,0.040,,805141587.875,,-2.768,17.54,0.5,0.1656,0.8820,0.8820,1.3355,-0.1050,0.1400,-1.3240,,
0.060,0.060,,805141587.875,,-2.768,17.54,0.5,0.1610,0.8680,0.8680,1.2510,0.0260,0.0430,-1.2500,,
0.080,0.080,,805141587.875,,-2.768,17.54,0.5,0.1350,0.9240,0.9240,1.2331,0.0640,0.0330,-1.2310,,
0.100,0.100,,805141587.875,,-2.768,17.54,0.5,0.1404,0.9120,0.9120,1.2386,-0.0120,0.0620,-1.2370,,
0.120,0.120,,805141587.875,,-2.768,17.54,0.5,0.1114,1.0040,1.0040,1.2069,0.2280,0.0720,-1.1830,,
0.140,0.140,,805141587.875,,-2.768,17.54,0.5,0.1732,1.0340,1.0340,1.2036,0.0570,0.0540,-1.2010,,
0.160,0.160,,805141587.875,,-2.768,17.54,0.5,0.0309,0.9960,0.9960,1.1494,0.1900,-0.0380,-1.1330,,
0.180,0.180,,805141587.875,,-2.768,17.54,0.5,0.0864,1.0630,1.0630,1.1880,0.1540,-0.0040,-1.1780,,
0.200,0.200,,805141587.875,,-2.768,17.54,0.5,0.1135,1.0040,1.0040,1.1282,0.0570,0.0420,-1.1260,,
0.220,0.220,,805141587.875,,-2.768,17.54,0.5,0.1048,0.9830,0.9830,1.0625,-0.0190,0.0960,-1.0580,,
0.240,0.240,,805141587.875,,-2.768,17.54,0.5,0.1462,0.9570,0.9570,0.9736,0.0290,0.1000,-0.9680,,
0.260,0.260,,805141587.875,,-2.768,17.54,0.5,0.1604,0.9510,0.9510,0.9639,0.1110,0.1020,-0.9520,,
0.280,0.280,,805141587.875,,-2.768,17.54,0.5,0.1590,0.9570,0.9570,0.9288,0.0820,0.0760,-0.9220,,
0.300,0.300,,805141587.875,,-2.768,17.54,0.5,0.0767,0.9740,0.9740,0.9118,-0.0300,0.1150,-0.9040,,
0.320,0.320,,805141587.875,,-2.768,17.54,0.5,0.0919,0.9900,0.9900,0.7519,0.0110,0.0520,-0.7500,,
0.340,0.340,,805141587.875,,-2.768,17.54,0.5,0.1450,1.0060,1.0060,0.8676,0.0150,0.2620,-0.8270,,
0.360,0.360,,805141587.875,,-2.768,17.54,0.5,0.1884,1.0000,1.0000,0.8631,0.0210,0.3080,-0.8060,,
0.380,0.380,,805141587.875,,-2.768,17.54,0.5,0.1596,1.0260,1.0260,0.8227,-0.0130,0.2920,-0.7690,,
0.400,0.400,,805141587.875,,-2.768,17.54,0.5,0.0720,1.0500,1.0500,0.8697,-0.1400,0.2470,-0.8220,,
0.790,0.790,,805141588.878,,-2.701,17.54,0.5,0.2102,0.8110,0.8110,0.3028,-0.1870,-0.1450,-0.1890,,
0.795,0.795,,805141588.878,,-2.701,17.54,0.5,0.2097,0.8110,0.8110,0.3097,-0.1980,-0.1380,-0.1940,,
0.800,0.800,,805141588.878,,-2.701,17.54,0.5,0.2026,0.8140,0.8140,0.3214,-0.2160,-0.1350,-0.1960,,
0.805,0.805,,805141588.878,,-2.701,17.54,0.5,0.2022,0.8140,0.8140,0.3398,-0.2350,-0.1450,-0.1980,,
0.810,0.810,,805141588.878,,-2.701,17.54,0.5,0.1946,0.8200,0.8200,0.3602,-0.2480,-0.1580,-0.2080,,
0.815,0.815,,805141588.878,,-2.701,17.54,0.5,0.1949,0.8200,0.8200,0.3666,-0.2500,-0.1680,-0.2090,,
0.820,0.820,,805141588.878,,-2.701,17.54,0.5,0.1709,0.8390,0.8390,0.3498,-0.2370,-0.1690,-0.1940,,
0.825,0.825,,805141588.878,,-2.701,17.54,0.5,0.1708,0.8390,0.8390,0.3167,-0.2140,-0.1600,-0.1700,,
0.830,0.830,,805141588.878,,-2.701,17.54,0.5,0.1437,0.8650,0.8650,0.2781,-0.1870,-0.1500,-0.1410,,
0.835,0.835,,805141588.878,,-2.701,17.54,0.5,0.1435,0.8650,0.8650,0.2465,-0.1630,-0.1440,-0.1160,,
0.840,0.840,,805141588.878,,-2.701,17.54,0.5,0.1389,0.8680,0.8680,0.2183,-0.1330,-0.1420,-0.0990,,
