t,motionRel,baroRel,absAltRel,relAlt,absAlt,absAltAcc,absAltPrec,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.000,,,,,,,0.0376,1.0000,1.0000,0.1571,-0.0190,0.0460,-0.1490,,
0.020,0.020,,,,,,,0.0352,0.9660,0.9660,0.0709,-0.0360,0.0320,-0.0520,,
0.040,0.040,,,,,,,0.0238,0.9940,0.9940,0.0264,0.0250,-0.0030,0.0080,,
0.060,0.060,,,,,,,0.0128,0.9980,0.9980,0.0936,0.0510,-0.0090,0.0780,,
0.080,0.080,,,,,,,0.0032,1.0010,1.0010,0.0601,0.0540,-0.0110,0.0240,,
0.100,0.100,,0.088,,6.325,10.232,0.5,0.0185,0.9910,0.9910,0.0361,0.0240,0.0260,0.0070,,
0.120,0.120,,0.088,,6.325,10.232,0.5,0.0122,1.0080,1.0080,0.0521,-0.0400,0.0210,-0.0260,,
0.140,0.140,,0.088,,6.325,10.232,0.5,0.0152,0.9860,0.9860,0.0911,-0.0830,0.0340,0.0160,,
0.160,0.160,,0.088,,6.325,10.232,0.5,0.0172,1.0100,1.0100,0.0296,-0.0270,0.0080,-0.0090,,
0.180,0.180,,0.088,,6.325,10.232,0.5,0.0124,0.9930,0.9930,0.0380,-0.0260,0.0250,0.0120,,
0.200,0.200,,0.088,,6.325,10.232,0.5,0.0078,1.0040,1.0040,0.0471,0.0430,0.0070,-0.0180,,
0.220,0.220,,0.088,,6.325,10.232,0.5,0.0211,0.9980,0.9980,0.0313,0.0060,0.0100,0.0290,,
0.240,0.240,,0.088,,6.325,10.232,0.5,0.0291,0.9990,0.9990,0.0260,-0.0070,-0.0150,-0.0200,,
0.260,0.260,,0.088,,6.325,10.232,0.5,0.0152,1.0060,1.0060,0.0279,-0.0220,-0.0020,-0.0170,,
0.280,0.280,,0.088,,6.325,10.232,0.5,0.0161,1.0130,1.0130,0.0241,0.0160,-0.0180,0.0000,,
0.300,0.300,,0.088,,6.325,10.232,0.5,0.0124,0.9960,0.9960,0.0228,-0.0010,-0.0140,-0.0180,,
