t,message
-1783874457.246,"27693.224:SYNC marker: three watch haptic taps; 27693.229:Absolute altitude acquisition: onDemand (stream off until a jump window opens)"
-1783874454.249,"27698.339:Motion pipeline degraded: absoluteCallbackGap"
-1783874445.493,"27705.389:v14 absoluteWindow OPEN reason=takeoff t=27704.93; 27705.391:v14 CANDIDATE takeoff=27704.93 baseline=-0.25 pop=true; 27706.385:v14 TOUCHDOWN impact=3.95g air=0.88"
-1783874441.740,"27710.384:v14 absoluteWindow CLOSE reason=stableBaseline"
-1783874440.490,"27710.385:Absolute altitude window closed (stableBaseline); 27705.807:JUMP(v14) FINAL h=1.85m src=absoluteAltitude air=0.88s dist=0.0m hRel=-1.0 hAbs=1.85 pop=13.11g impact=3.95g rot=1.9 confirmed=true conf=80.0 latency=4.2s; 27710.385:v14 JUMP h=1.85m src=absoluteAltitude air=0.88s conf=0.80 via=stableBaseline"
-1783874434.235,"27717.391:v14 absoluteWindow OPEN reason=takeoff t=27716.81; 27717.391:v14 CANDIDATE takeoff=27716.81 baseline=n/a pop=true"
-1783874432.984,"27718.391:v14 TOUCHDOWN impact=5.22g air=0.92; 27719.381:v14 absoluteWindow CLOSE reason=nextTakeoff"
-1783874431.733,"27719.383:Absolute altitude window closed (nextTakeoff); 27717.730:JUMP(v14) FINAL h=1.68m src=absoluteAltitude air=0.92s dist=0.0m hRel=-1.0 hAbs=1.68 pop=18.55g impact=5.22g rot=3.68 confirmed=false conf=65.0 latency=0.9s; 27719.385:v14 JUMP h=1.68m src=absoluteAltitude air=0.92s conf=0.65 via=nextTakeoff; 27719.385:v14 absoluteWindow OPEN reason=takeoff t=27718.28; 27719.385:v14 CANDIDATE takeoff=27718.28 baseline=-0.58 pop=true; 27719.386:v14 TOUCHDOWN impact=2.15g air=0.94; 27720.382:v14 absoluteWindow CLOSE reason=nextTakeoff"
-1783874430.482,"27719.211:JUMP(v14) FINAL h=1.07m src=ballistic air=0.94s dist=0.0m hRel=-1.0 hAbs=-1.0 pop=18.06g impact=2.15g rot=0.41 confirmed=false conf=50.0 latency=0.4s; 27720.388:v14 JUMP h=1.07m src=ballistic air=0.94s conf=0.50 via=nextTakeoff; 27720.388:v14 REJECT(candidate) reason=retriggerGuard; 27720.388:v14 absoluteWindow OPEN reason=takeoff t=27719.22; 27720.388:v14 CANDIDATE takeoff=27719.22 baseline=n/a pop=true; 27720.389:Absolute altitude window closed (nextTakeoff)"
-1783874427.981,"27723.383:v14 TOUCHDOWN loadReturn air=2.91"
-1783874426.730,"27725.401:v14 absoluteWindow CLOSE reason=stableBaseline; 27722.129:JUMP(v14) FINAL h=10.4m src=ballistic air=2.91s dist=0.0m hRel=-1.0 hAbs=-1.0 pop=2.17g impact=0.87g rot=0.6 confirmed=true conf=65.0 latency=3.3s; 27725.409:v14 JUMP h=10.40m src=ballistic air=2.91s conf=0.65 via=stableBaseline"
-1783874425.479,"27725.417:Absolute altitude window closed (stableBaseline)"
-1783874411.719,"27740.390:v14 absoluteWindow OPEN reason=takeoff t=27739.24"
-1783874410.468,"27740.391:v14 CANDIDATE takeoff=27739.24 baseline=-0.17 pop=true; 27740.392:v14 TOUCHDOWN impact=3.39g air=0.94"
-1783874409.217,"27743.382:v14 absoluteWindow CLOSE reason=stableBaseline"
-1783874407.966,"27740.177:JUMP(v14) FINAL h=1.08m src=ballistic air=0.94s dist=0.0m hRel=-1.0 hAbs=-1.0 pop=12.1g impact=3.39g rot=1.74 confirmed=true conf=65.0 latency=3.2s; 27743.388:v14 JUMP h=1.08m src=ballistic air=0.94s conf=0.65 via=stableBaseline; 27743.389:Absolute altitude window closed (stableBaseline)"
-1783874396.708,"27755.390:v14 absoluteWindow OPEN reason=takeoff t=27754.32"
-1783874395.457,"27755.391:v14 CANDIDATE takeoff=27754.32 baseline=-0.15 pop=true; 27755.391:v14 TOUCHDOWN impact=5.85g air=0.42"
-1783874392.955,"27759.389:v14 absoluteWindow CLOSE reason=stableBaseline; 27759.390:v14 REJECT reason=belowMinRise h=0.22 min=1.00 src=ballistic via=stableBaseline"
-1783874391.705,"27759.392:Absolute altitude window closed (stableBaseline)"
-1783874389.203,"27763.244:Motion pipeline degraded: absoluteCallbackGap"
-1783874384.199,"27767.389:v14 absoluteWindow OPEN reason=takeoff t=27766.13; 27767.389:v14 CANDIDATE takeoff=27766.13 baseline=n/a pop=true; 27767.390:v14 TOUCHDOWN impact=7.10g air=0.81"
-1783874379.196,"27772.389:v14 absoluteWindow CLOSE reason=stableBaseline; 27772.389:v14 REJECT reason=belowMinRise h=0.81 min=1.00 src=ballistic via=stableBaseline; 27772.391:Absolute altitude window closed (stableBaseline)"
-1783874372.941,"27779.393:v14 absoluteWindow OPEN reason=takeoff t=27778.08"
-1783874371.690,"27779.394:v14 CANDIDATE takeoff=27778.08 baseline=n/a pop=true; 27779.395:v14 TOUCHDOWN impact=10.76g air=0.94"
-1783874369.188,"27782.393:v14 absoluteWindow CLOSE reason=stableBaseline; 27779.024:JUMP(v14) FINAL h=1.08m src=ballistic air=0.94s dist=0.0m hRel=-1.0 hAbs=-1.0 pop=19.22g impact=10.76g rot=1.39 confirmed=true conf=65.0 latency=2.7s; 27782.399:v14 JUMP h=1.08m src=ballistic air=0.94s conf=0.65 via=stableBaseline; 27782.402:Absolute altitude window closed (stableBaseline)"
-1783874339.167,"27812.949:JumpDetector(v14) endSession flush lateJumps=0"
