t,message
-1783874457.395,"28922.457:SYNC marker: three watch haptic taps; 28922.460:Absolute altitude acquisition: onDemand (stream off until a jump window opens)"
-1783874454.358,"28927.479:Motion pipeline degraded: absoluteCallbackGap"
-1783874450.606,"28929.673:v14 REJECT(candidate) reason=gpsSpeedBelowRiding spd=0.00"
-1783874440.599,"28940.673:v14 absoluteWindow OPEN reason=takeoff t=28939.58"
-1783874439.348,"28940.674:v14 CANDIDATE takeoff=28939.58 baseline=-0.20 pop=true; 28940.674:v14 TOUCHDOWN impact=11.34g air=0.81"
-1783874436.847,"28944.676:v14 absoluteWindow CLOSE reason=stableBaseline; 28944.677:v14 REJECT reason=belowMinRise h=0.80 min=1.00 src=ballistic via=stableBaseline"
-1783874435.596,"28944.680:Absolute altitude window closed (stableBaseline)"
-1783874420.586,"28960.667:v14 absoluteWindow OPEN reason=takeoff t=28959.36"
-1783874419.335,"28960.672:v14 CANDIDATE takeoff=28959.36 baseline=n/a pop=true; 28960.673:v14 TOUCHDOWN impact=1.96g air=1.07"
-1783874416.834,"28964.672:v14 absoluteWindow CLOSE reason=stableBaseline"
-1783874415.583,"28964.673:Absolute altitude window closed (stableBaseline); 28960.428:JUMP(v14) FINAL h=1.39m src=ballistic air=1.07s dist=0.0m hRel=-1.0 hAbs=-1.0 pop=42.1g impact=1.96g rot=3.19 confirmed=true conf=65.0 latency=4.1s; 28964.674:v14 JUMP h=1.39m src=ballistic air=1.07s conf=0.65 via=stableBaseline"
-1783874406.827,"28973.674:v14 REJECT(candidate) reason=gpsSpeedBelowRiding spd=0.00"
-1783874398.071,"28983.666:v14 absoluteWindow OPEN reason=takeoff t=28982.46"
-1783874396.820,"28983.667:v14 CANDIDATE takeoff=28982.46 baseline=-0.81 pop=true; 28983.667:v14 TOUCHDOWN impact=7.50g air=0.99"
-1783874394.319,"28987.666:v14 absoluteWindow CLOSE reason=stableBaseline"
-1783874393.068,"28983.443:JUMP(v14) FINAL h=1.19m src=ballistic air=0.99s dist=0.0m hRel=-1.0 hAbs=-1.0 pop=26.7g impact=7.5g rot=2.1 confirmed=true conf=65.0 latency=4.1s; 28987.672:v14 JUMP h=1.19m src=ballistic air=0.99s conf=0.65 via=stableBaseline; 28987.674:Absolute altitude window closed (stableBaseline)"
-1783874389.315,"28992.470:Motion pipeline degraded: absoluteCallbackGap"
-1783874370.543,"29010.346:JumpDetector(v14) endSession flush lateJumps=0"
