t,motionRel,baroRel,absAltRel,relAlt,absAlt,absAltAcc,absAltPrec,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.000,,,,,,,0.0958,0.9880,0.9880,0.7582,-0.0540,-0.4060,0.6380,,
0.020,0.020,,,,,,,0.0262,0.9820,0.9820,0.6880,-0.0640,-0.3770,0.5720,,
0.040,0.040,,,,,,,0.0368,0.9670,0.9670,0.6862,-0.0340,-0.3620,0.5820,,
0.060,0.060,,,,,,,0.0458,0.9630,0.9630,0.6772,-0.0390,-0.3440,0.5820,,
0.080,0.080,,,,,,,0.0475,0.9600,0.9600,0.6742,-0.1020,-0.3210,0.5840,,
0.100,0.100,,,,,,,0.0408,0.9740,0.9740,0.6832,-0.1240,-0.3140,0.5940,,
0.120,0.120,,,,,,,0.0075,0.9950,0.9950,0.6661,-0.0940,-0.3210,0.5760,,
0.140,0.140,,,,,,,0.0112,1.0060,1.0060,0.6354,-0.0270,-0.3170,0.5500,,
0.160,0.160,,,,,,,0.0194,1.0080,1.0080,0.6345,0.0000,-0.3380,0.5370,,
0.180,0.180,,,,,,,0.0371,1.0020,1.0020,0.6407,-0.1040,-0.3220,0.5440,,
0.200,0.200,,,,,,,0.0371,1.0070,1.0070,0.6382,-0.1530,-0.3210,0.5300,,
0.220,0.220,,,,,,,0.0349,1.0040,1.0040,0.6569,-0.1430,-0.3440,0.5410,,
0.240,0.240,,,,,,,0.0332,1.0080,1.0080,0.6529,-0.1240,-0.3470,0.5390,,
0.260,0.260,,,,,,,0.0236,1.0230,1.0230,0.6450,-0.0390,-0.3670,0.5290,,
0.280,0.280,,,,,,,0.0245,1.0240,1.0240,0.6454,-0.0060,-0.3550,0.5390,,
0.300,0.300,,,,,,,0.0354,1.0020,1.0020,0.6427,-0.0980,-0.3560,0.5260,,
0.320,0.320,,,,,,,0.0333,0.9920,0.9920,0.6316,-0.1210,-0.3480,0.5130,,
0.340,0.340,,,,,,,0.0362,0.9670,0.9670,0.6054,-0.1010,-0.3260,0.5000,,
0.360,0.360,,,,,,,0.0227,0.9810,0.9810,0.5731,-0.0580,-0.3030,0.4830,,
0.380,0.380,,,,,,,0.0136,1.0060,1.0060,0.5567,-0.0190,-0.3100,0.4620,,
0.400,0.400,,,,,,,0.0207,1.0130,1.0130,0.5512,-0.0630,-0.3120,0.4500,,
0.420,0.420,,,,,,,0.0413,1.0090,1.0090,0.5573,-0.1450,-0.3040,0.4440,,
0.440,0.440,,,,,,,0.0192,1.0090,1.0090,0.5477,-0.1160,-0.3120,0.4350,,
0.610,0.610,,,,,,,0.0148,1.0050,1.0050,0.5338,-0.0500,-0.2780,0.4530,,
0.615,0.615,,,,,,,0.0148,1.0050,1.0050,0.5370,-0.0650,-0.2710,0.4590,,
0.620,0.620,,,,,,,0.0275,1.0030,1.0030,0.5403,-0.0780,-0.2690,0.4620,,
0.625,0.625,,,,,,,0.0271,1.0030,1.0030,0.5443,-0.0920,-0.2710,0.4630,,
0.630,0.630,,,,,,,0.0345,1.0020,1.0020,0.5457,-0.0990,-0.2730,0.4620,,
0.635,0.635,,,,,,,0.0332,1.0020,1.0020,0.5449,-0.1030,-0.2750,0.4590,,
0.640,0.640,,,,,,,0.0289,1.0050,1.0050,0.5480,-0.1070,-0.2780,0.4600,,
0.645,0.645,,,,,,,0.0289,1.0050,1.0050,0.5495,-0.1050,-0.2800,0.4610,,
0.650,0.650,,,,,,,0.0287,1.0080,1.0080,0.5517,-0.1040,-0.2830,0.4620,,
0.655,0.655,,,,,,,0.0287,1.0080,1.0080,0.5509,-0.1060,-0.2840,0.4600,,
0.660,0.660,,,,,,,0.0287,1.0060,1.0060,0.5488,-0.1060,-0.2800,0.4600,,
0.665,0.665,,,,,,,0.0287,1.0060,1.0060,0.5435,-0.0970,-0.2810,0.4550,,
0.670,0.670,,,,,,,0.0220,1.0000,1.0000,0.5398,-0.0830,-0.2800,0.4540,,
0.675,0.675,,,,,,,0.0206,1.0000,1.0000,0.5362,-0.0680,-0.2820,0.4510,,
0.680,0.680,,,,,,,0.0120,1.0010,1.0010,0.5294,-0.0490,-0.2810,0.4460,,
0.685,0.685,,,,,,,0.0111,1.0010,1.0010,0.5264,-0.0320,-0.2810,0.4440,,
0.690,0.690,,,,,,,0.0100,0.9990,0.9990,0.5254,-0.0170,-0.2820,0.4430,,
0.695,0.695,,,,,,,0.0109,0.9990,0.9990,0.5229,-0.0070,-0.2840,0.4390,,
0.700,0.700,,,,,,,0.0127,0.9910,0.9910,0.5226,-0.0040,-0.2820,0.4400,,
0.705,0.705,,,,,,,0.0121,0.9910,0.9910,0.5202,-0.0140,-0.2740,0.4420,,
0.710,0.710,,,,,,,0.0261,0.9790,0.9790,0.5219,-0.0260,-0.2630,0.4500,,
0.715,0.715,,,,,,,0.0257,0.9790,0.9790,0.5232,-0.0460,-0.2560,0.4540,,
0.720,0.720,,,,,,,0.0407,0.9720,0.9720,0.5247,-0.0670,-0.2490,0.4570,,
0.725,0.725,,,,,,,0.0404,0.9720,0.9720,0.5246,-0.0950,-0.2450,0.4540,,
0.730,0.730,,,,,,,0.0420,0.9770,0.9770,0.5225,-0.1160,-0.2350,0.4520,,
0.735,0.735,,,,,,,0.0417,0.9770,0.9770,0.5197,-0.1320,-0.2260,0.4490,,
0.740,0.740,,,,,,,0.0336,0.9850,0.9850,0.5156,-0.1410,-0.2190,0.4450,,
0.745,0.745,,,,,,,0.0336,0.9850,0.9850,0.5184,-0.1450,-0.2250,0.4440,,
0.750,0.750,,,,,,,0.0245,0.9930,0.9930,0.5175,-0.1460,-0.2300,0.4400,,
0.755,0.755,,,,,,,0.0242,0.9940,0.9940,0.5126,-0.1400,-0.2340,0.4340,,
0.760,0.760,,,,,,,0.0298,1.0000,1.0000,0.5081,-0.1390,-0.2340,0.4290,,
0.765,0.765,,,,,,,0.0289,1.0000,1.0000,0.5049,-0.1390,-0.2290,0.4280,,
0.770,0.770,,,,,,,0.0354,0.9900,0.9900,0.5019,-0.1360,-0.2260,0.4270,,
0.775,0.775,,,,,,,0.0354,0.9900,0.9900,0.4968,-0.1300,-0.2240,0.4240,,
0.781,0.780,,,,,,,0.0333,0.9840,0.9840,0.4911,-0.1230,-0.2210,0.4210,,
0.786,0.785,,,,,,,0.0333,0.9840,0.9840,0.4785,-0.1060,-0.2190,0.4120,,
0.791,0.790,,,,,,,0.0264,0.9860,0.9860,0.4635,-0.0840,-0.2110,0.4040,,
0.796,0.796,,,,,,,0.0264,0.9860,0.9860,0.4499,-0.0570,-0.2000,0.3990,,
0.801,0.801,,,,,,,0.0287,0.9850,0.9850,0.4411,-0.0300,-0.1940,0.3950,,
0.806,0.806,,,,,,,0.0294,0.9850,0.9850,0.4352,-0.0070,-0.1970,0.3880,,
0.811,0.811,,,,,,,0.0331,0.9820,0.9820,0.4309,0.0050,-0.2030,0.3800,,
0.816,0.816,,,,,,,0.0338,0.9820,0.9820,0.4270,0.0110,-0.2020,0.3760,,
0.821,0.821,,,,,,,0.0330,0.9820,0.9820,0.4244,-0.0040,-0.1910,0.3790,,
0.826,0.826,,,,,,,0.0324,0.9820,0.9820,0.4184,-0.0270,-0.1730,0.3800,,
0.831,0.831,,,,,,,0.0450,0.9700,0.9700,0.4166,-0.0440,-0.1530,0.3850,,
0.836,0.836,,,,,,,0.0450,0.9700,0.9700,0.4166,-0.0620,-0.1440,0.3860,,
0.841,0.841,,,,,,,0.0427,0.9730,0.9730,0.4178,-0.0910,-0.1480,0.3800,,
0.846,0.846,,,,,,,0.0427,0.9730,0.9730,0.4146,-0.1110,-0.1480,0.3710,,
0.851,0.851,,,,,,,0.0344,0.9860,0.9860,0.4131,-0.1340,-0.1420,0.3640,,
0.856,0.856,,,,,,,0.0340,0.9860,0.9860,0.4181,-0.1630,-0.1340,0.3610,,
0.861,0.861,,,,,,,0.0421,0.9860,0.9860,0.4313,-0.1870,-0.1220,0.3690,,
0.866,0.866,,,,,,,0.0420,0.9870,0.9870,0.4341,-0.1980,-0.1110,0.3700,,
0.871,0.871,,,,,,,0.0423,0.9870,0.9870,0.4301,-0.1970,-0.1000,0.3690,,
0.876,0.876,,,,,,,0.0417,0.9870,0.9870,0.4164,-0.1790,-0.0940,0.3640,,
0.881,0.881,,,,,,,0.0269,0.9930,0.9930,0.3977,-0.1430,-0.0900,0.3600,,
0.886,0.886,,,,,,,0.0260,0.9930,0.9930,0.3759,-0.0890,-0.0900,0.3540,,
0.891,0.891,,,,,,,0.0343,0.9980,0.9980,0.3592,-0.0250,-0.0930,0.3460,,
0.896,0.896,,,,,,,0.0341,0.9980,0.9980,0.3559,0.0390,-0.1010,0.3390,,
0.901,0.901,,,,,,,0.0531,1.0030,1.0030,0.3601,0.0930,-0.1130,0.3290,,
0.906,0.906,,,,,,,0.0539,1.0020,1.0020,0.3713,0.1410,-0.1170,0.3230,,
0.911,0.911,,,,,,,0.0502,0.9990,0.9990,0.3799,0.1640,-0.1200,0.3210,,
0.916,0.916,,,,,,,0.0505,0.9980,0.9980,0.3773,0.1580,-0.1170,0.3220,,
0.921,0.921,,,,,,,0.0337,0.9770,0.9770,0.3683,0.1330,-0.1080,0.3260,,
0.926,0.926,,,,,,,0.0334,0.9770,0.9770,0.3537,0.0900,-0.0900,0.3300,,
0.931,0.931,,,,,,,0.0457,0.9660,0.9660,0.3388,0.0370,-0.0720,0.3290,,
0.936,0.936,,,,,,,0.0456,0.9650,0.9650,0.3304,-0.0220,-0.0550,0.3250,,
