t,motionRel,baroRel,absAltRel,relAlt,absAlt,absAltAcc,absAltPrec,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.000,,,,,,,0.0573,0.9890,0.9890,0.5442,-0.2830,0.4620,0.0510,,
0.020,0.020,,,,,,,0.1041,1.0750,1.0750,0.4700,-0.2880,-0.3690,-0.0420,,
0.040,0.040,,,,,,,0.0870,1.0070,1.0070,0.3769,-0.1360,-0.3440,-0.0720,,
0.060,0.060,,,,,,,0.0404,0.9820,0.9820,0.1321,0.0400,0.1180,-0.0440,,
0.080,0.080,,,,,,,0.0436,0.9600,0.9600,0.1646,0.0310,0.1590,-0.0290,,
0.100,0.100,,,,,,,0.0498,0.9660,0.9660,0.1275,-0.1080,0.0630,0.0250,,
0.120,0.120,,,,,,,0.0103,0.9970,0.9970,0.1623,-0.1590,-0.0290,0.0150,,
0.140,0.140,,,,,,,0.0207,0.9840,0.9840,0.1585,-0.1530,0.0140,0.0390,,
0.160,0.160,,,,,,,0.0214,0.9940,0.9940,0.0882,-0.0580,-0.0640,-0.0180,,
0.180,0.180,,,,,,,0.0046,1.0020,1.0020,0.0968,-0.0530,0.0780,0.0220,,
0.200,0.200,,,,,,,0.0094,0.9970,0.9970,0.1558,-0.1070,0.0600,0.0960,,
0.220,0.220,,,,,,,0.0154,0.9960,0.9960,0.0814,-0.0560,0.0020,0.0590,,
0.240,0.240,,,,,,,0.0117,0.9970,0.9970,0.0589,-0.0220,0.0540,0.0080,,
0.260,0.260,,,,,,,0.0128,1.0020,1.0020,0.0870,-0.0860,-0.0120,0.0060,,
0.280,0.280,,,,,,,0.0166,0.9960,0.9960,0.2034,-0.1950,-0.0210,0.0540,,
0.300,0.300,,,,,,,0.0130,0.9920,0.9920,0.2511,-0.2290,0.0500,0.0900,,
0.320,0.320,,,,,,,0.0128,0.9980,0.9980,0.2601,-0.2380,0.0400,0.0970,,
0.480,0.480,,,,,,,0.0363,0.9760,0.9760,0.9314,-0.5900,0.7140,0.0980,,
0.485,0.485,,,,,,,0.0555,0.9580,0.9580,0.9725,-0.6420,0.7240,0.0970,,
0.490,0.490,,,,,,,0.0521,0.9590,0.9590,0.9912,-0.6710,0.7230,0.0980,,
0.495,0.495,,,,,,,0.0533,0.9600,0.9600,0.9914,-0.6910,0.7050,0.0910,,
0.500,0.500,,,,,,,0.0494,0.9620,0.9620,0.9493,-0.6930,0.6410,0.1000,,
0.505,0.505,,,,,,,0.0313,0.9990,0.9990,0.8740,-0.6680,0.5500,0.1230,,
0.510,0.510,,,,,,,0.0277,1.0000,1.0000,0.7923,-0.6200,0.4680,0.1560,,
0.515,0.515,,,,,,,0.0540,1.0330,1.0330,0.6978,-0.5460,0.3820,0.2070,,
0.520,0.520,,,,,,,0.0528,1.0340,1.0340,0.6062,-0.4430,0.3010,0.2840,,
0.525,0.525,,,,,,,0.0830,1.0500,1.0500,0.5088,-0.3120,0.2110,0.3420,,
0.530,0.530,,,,,,,0.0821,1.0500,1.0500,0.3292,-0.1550,0.1650,0.2390,,
0.535,0.535,,,,,,,0.0648,1.0510,1.0510,0.5618,-0.0040,0.1440,0.5430,,
0.540,0.540,,,,,,,0.0643,1.0510,1.0510,0.2512,0.0390,0.0630,0.2400,,
0.545,0.545,,,,,,,0.0820,0.9940,0.9940,0.2666,-0.0630,0.1750,0.1910,,
0.550,0.550,,,,,,,0.0798,0.9940,0.9940,0.4250,-0.2250,0.2880,0.2170,,
0.555,0.555,,,,,,,0.1185,0.8910,0.8910,0.6297,-0.4110,0.3750,0.2950,,
0.560,0.560,,,,,,,0.1181,0.8920,0.8920,0.8057,-0.6100,0.4140,0.3250,,
0.565,0.565,,,,,,,0.1059,0.9090,0.9090,0.9442,-0.7700,0.4310,0.3360,,
