Kiters Session Log
File: log_20260615_143052_F4A2C0D1.kslog
Size: 49.5 KB
Format: binary kslog v1
session: F4A2C0D1-3B7E-4A9C-9E21-5C8D0E6F1A22
date: 20260615_143052
mode: Standard
devMode: false
sampleRate: 50 Hz
minSpeed(m/s): 4.17
takeoffG(g): 1.50
landingG(g): 2.00
minAirtime(s): 0.50
maxAirtime(s): 8.00
cooldown(s): 1.50

CSV preview decoded from binary:
idx,t,ax,ay,az,aM,gx,gy,gz,gM,gvX,gvY,gvZ,baro,baseBaro,spd,lowG,state,evt
1,0.000,,,,,,,,,,,,,,0.00,,idle,JumpDetector(v7) reset — Standard minSpd=15km/h tkoff=1.5g land=2.0g air=0.5-8.0s cd=1.5s
2,0.000,0.033,0.010,0.972,0.972,0.014,-0.159,0.091,0.184,0.030,-0.025,-0.999,1013.27,1013.25,0.00,0,idle,
3,0.020,-0.015,-0.033,0.989,0.990,0.115,0.196,-0.021,0.229,0.012,-0.026,-1.000,1013.25,1013.25,0.03,0,idle,
4,0.040,-0.012,0.050,0.983,0.984,0.093,-0.048,0.031,0.110,0.010,-0.025,-1.000,1013.26,1013.25,0.06,0,idle,
5,0.060,0.037,0.044,1.024,1.026,0.199,0.179,-0.027,0.269,0.016,-0.030,-0.999,1013.23,1013.25,0.09,0,idle,
6,0.080,-0.020,0.040,1.018,1.019,-0.068,-0.197,-0.054,0.216,0.011,-0.030,-0.999,1013.25,1013.25,0.12,0,idle,
7,0.100,0.015,-0.000,0.977,0.977,-0.074,-0.119,0.083,0.163,0.013,-0.034,-0.999,1013.24,1013.25,0.15,0,idle,
8,0.120,0.045,0.018,1.046,1.047,-0.048,-0.087,-0.053,0.113,0.014,-0.025,-1.000,1013.26,1013.25,0.18,0,idle,
9,0.140,-0.011,0.041,1.028,1.029,0.069,-0.032,0.034,0.083,0.022,-0.027,-0.999,1013.27,1013.25,0.21,0,idle,
10,0.160,-0.008,0.018,1.020,1.020,0.063,0.174,-0.088,0.205,0.029,-0.038,-0.999,1013.24,1013.25,0.24,0,idle,
11,0.180,0.011,-0.004,0.976,0.976,0.114,-0.125,0.037,0.173,0.017,-0.031,-0.999,1013.23,1013.25,0.27,0,idle,
12,0.200,-0.010,0.014,1.050,1.050,-0.191,0.196,-0.018,0.274,0.017,-0.039,-0.999,1013.23,1013.25,0.30,0,idle,
13,0.220,0.002,-0.036,0.982,0.983,-0.066,-0.063,0.021,0.093,0.019,-0.038,-0.999,1013.24,1013.25,0.33,0,idle,
14,0.240,-0.050,-0.007,0.999,1.000,-0.043,-0.055,0.089,0.113,0.028,-0.029,-0.999,1013.26,1013.25,0.36,0,idle,
15,0.260,-0.028,-0.007,0.963,0.963,0.010,0.175,0.060,0.186,0.019,-0.030,-0.999,1013.26,1013.25,0.39,0,idle,
16,0.280,0.026,-0.017,1.006,1.007,-0.131,-0.075,-0.009,0.151,0.013,-0.024,-1.000,1013.27,1013.25,0.42,0,idle,
17,0.300,0.017,-0.014,1.014,1.014,0.065,-0.039,0.053,0.092,0.024,-0.031,-0.999,1013.24,1013.25,0.45,0,idle,
18,0.320,-0.042,0.033,1.024,1.026,-0.139,-0.017,-0.042,0.146,0.018,-0.021,-1.000,1013.25,1013.25,0.48,0,idle,
19,0.340,0.037,0.029,1.021,1.022,0.021,0.181,0.032,0.185,0.026,-0.020,-0.999,1013.26,1013.25,0.51,0,idle,
20,0.360,-0.033,0.032,0.971,0.972,0.050,-0.027,0.043,0.071,0.019,-0.035,-0.999,1013.26,1013.25,0.54,0,idle,
21,0.380,-0.019,-0.022,0.979,0.980,-0.079,-0.010,0.023,0.083,0.019,-0.022,-1.000,1013.26,1013.25,0.57,0,idle,
22,0.400,0.039,0.019,1.004,1.005,0.092,-0.141,0.039,0.173,0.010,-0.021,-1.000,1013.24,1013.25,0.60,0,idle,
23,0.420,-0.037,0.013,1.007,1.008,-0.130,-0.031,-0.009,0.134,0.019,-0.036,-0.999,1013.25,1013.25,0.63,0,idle,
24,0.440,0.042,-0.019,0.985,0.987,-0.175,-0.110,-0.075,0.220,0.012,-0.023,-1.000,1013.27,1013.25,0.66,0,idle,
25,0.460,0.007,0.041,1.036,1.037,-0.175,0.052,-0.062,0.193,0.013,-0.035,-0.999,1013.26,1013.25,0.69,0,idle,
26,0.480,-0.026,0.025,1.021,1.022,0.130,-0.119,0.047,0.182,0.017,-0.026,-1.000,1013.26,1013.25,0.72,0,idle,
27,0.500,-0.049,0.023,0.992,0.993,-0.142,-0.120,0.003,0.186,0.022,-0.036,-0.999,1013.25,1013.25,0.75,0,idle,
28,0.520,0.044,-0.019,0.957,0.958,0.007,0.094,0.079,0.123,0.018,-0.027,-0.999,1013.26,1013.25,0.78,0,idle,
29,0.540,0.040,0.028,1.038,1.039,-0.156,-0.152,0.037,0.221,0.013,-0.039,-0.999,1013.24,1013.25,0.81,0,idle,
30,0.560,-0.014,-0.023,1.028,1.028,0.142,0.169,-0.044,0.225,0.013,-0.040,-0.999,1013.24,1013.25,0.84,0,idle,
31,0.580,-0.042,0.050,1.009,1.011,0.194,-0.088,-0.036,0.216,0.011,-0.036,-0.999,1013.24,1013.25,0.87,0,idle,
32,0.600,-0.021,0.026,0.964,0.965,0.043,0.098,0.078,0.133,0.023,-0.021,-1.000,1013.23,1013.25,0.90,0,idle,
33,0.620,-0.037,-0.035,1.042,1.043,0.115,0.163,-0.063,0.209,0.022,-0.023,-0.999,1013.26,1013.25,0.93,0,idle,
34,0.640,0.046,-0.010,1.042,1.043,-0.028,0.172,0.084,0.194,0.022,-0.026,-0.999,1013.24,1013.25,0.96,0,idle,
35,0.660,0.036,0.014,0.978,0.978,0.170,0.015,-0.018,0.172,0.022,-0.022,-1.000,1013.26,1013.25,0.99,0,idle,
36,0.680,0.003,0.049,1.014,1.015,-0.037,-0.091,0.032,0.103,0.026,-0.026,-0.999,1013.24,1013.25,1.02,0,idle,
37,0.700,0.045,0.030,0.972,0.973,-0.044,-0.154,-0.011,0.160,0.025,-0.036,-0.999,1013.25,1013.25,1.05,0,idle,
38,0.720,0.020,-0.032,0.989,0.990,0.024,-0.018,-0.074,0.080,0.014,-0.029,-0.999,1013.25,1013.25,1.08,0,idle,
39,0.740,0.033,-0.012,1.032,1.033,-0.139,-0.101,-0.044,0.178,0.012,-0.038,-0.999,1013.25,1013.25,1.11,0,idle,
40,0.760,-0.029,0.038,0.959,0.960,0.017,-0.163,0.087,0.186,0.024,-0.030,-0.999,1013.26,1013.25,1.14,0,idle,
... (1049 more rows — full data in the .kslog file)

Event rows in this session:
1,0.000,,,,,,,,,,,,,,0.00,,idle,JumpDetector(v7) reset — Standard minSpd=15km/h tkoff=1.5g land=2.0g air=0.5-8.0s cd=1.5s
152,3.000,,,,,,,,,,,,,,4.60,,riding,IDLE→RIDING (spd=16.6km/h)
404,8.020,0.600,0.300,2.000,2.110,2.400,1.100,0.600,2.707,0.018,-0.025,-1.000,1013.25,1013.25,8.60,1,riding,takeoff spike aM=2.18g
406,8.060,,,,,,,,,,,,,,8.60,,airborne,RIDING→AIRBORNE (lowG×3)
478,9.480,0.900,0.500,2.600,2.796,1.200,0.400,0.200,1.281,0.017,-0.033,-0.999,1013.23,1013.25,8.00,0,airborne,landing impact
479,9.500,,,,,,,,,,,,,,8.00,,cooldown,JUMP #1 ACCEPTED air=1.40s h=1.30m rot=0 dist=9.4m conf=74.0 src=kinematic
556,11.020,,,,,,,,,,,,,,8.20,,riding,COOLDOWN→RIDING
758,15.040,0.600,0.300,2.000,2.110,2.400,1.100,0.600,2.707,0.011,-0.039,-0.999,1013.25,1013.25,8.60,1,riding,takeoff spike aM=2.18g
