SPOTEQ Session Log
File: log_20260615_143052_F4A2C0D1.kslog
Size: 49.5 KB
Format: binary kslog v1
session: F4A2C0D1-3B7E-4A9C-9E21-5C8D0E6F1A22
date: 20260615_143052
mode: Standard
devMode: false
sampleRate: 50 Hz
minSpeed(m/s): 4.17
takeoffG(g): 1.50
landingG(g): 2.00
minAirtime(s): 0.50
maxAirtime(s): 8.00
cooldown(s): 1.50

CSV preview decoded from binary:
idx,t,ax,ay,az,aM,gx,gy,gz,gM,gvX,gvY,gvZ,baro,baseBaro,spd,lowG,state,evt
1,0.000,,,,,,,,,,,,,,0.00,,idle,JumpDetector(v7) reset — Standard minSpd=15km/h tkoff=1.5g land=2.0g air=0.5-8.0s cd=1.5s
2,0.000,-0.050,-0.007,0.989,0.990,0.122,0.086,-0.040,0.154,0.023,-0.037,-0.999,1013.26,1013.25,0.00,0,idle,
3,0.020,0.025,0.047,1.019,1.020,-0.034,0.127,-0.050,0.141,0.014,-0.025,-1.000,1013.25,1013.25,0.03,0,idle,
4,0.040,-0.005,0.008,0.975,0.975,0.061,-0.064,0.095,0.130,0.022,-0.030,-0.999,1013.25,1013.25,0.06,0,idle,
5,0.060,0.050,0.000,1.001,1.002,0.131,0.158,-0.053,0.212,0.023,-0.040,-0.999,1013.24,1013.25,0.09,0,idle,
6,0.080,0.012,-0.029,1.005,1.005,0.090,-0.099,-0.093,0.163,0.023,-0.029,-0.999,1013.26,1013.25,0.12,0,idle,
7,0.100,0.012,0.021,1.033,1.033,0.030,0.067,-0.022,0.076,0.029,-0.038,-0.999,1013.24,1013.25,0.15,0,idle,
8,0.120,0.011,-0.010,0.982,0.982,-0.094,-0.090,0.053,0.140,0.018,-0.032,-0.999,1013.25,1013.25,0.18,0,idle,
9,0.140,0.038,0.038,0.979,0.981,0.013,-0.148,0.066,0.162,0.024,-0.026,-0.999,1013.25,1013.25,0.21,0,idle,
10,0.160,-0.042,0.026,1.050,1.051,0.060,-0.171,0.050,0.188,0.012,-0.027,-1.000,1013.24,1013.25,0.24,0,idle,
11,0.180,-0.018,0.005,0.967,0.967,-0.110,0.169,0.065,0.212,0.028,-0.020,-0.999,1013.27,1013.25,0.27,0,idle,
12,0.200,0.004,0.049,1.005,1.006,-0.012,-0.187,0.087,0.206,0.011,-0.036,-0.999,1013.26,1013.25,0.30,0,idle,
13,0.220,0.016,0.013,0.952,0.952,0.104,-0.063,0.057,0.135,0.011,-0.033,-0.999,1013.26,1013.25,0.33,0,idle,
14,0.240,0.012,0.023,0.960,0.960,-0.017,-0.132,-0.081,0.156,0.022,-0.032,-0.999,1013.25,1013.25,0.36,0,idle,
15,0.260,-0.037,-0.021,1.047,1.048,0.048,0.020,-0.093,0.107,0.017,-0.026,-1.000,1013.26,1013.25,0.39,0,idle,
16,0.280,0.016,-0.008,1.021,1.022,-0.189,-0.070,-0.007,0.201,0.024,-0.030,-0.999,1013.24,1013.25,0.42,0,idle,
17,0.300,-0.036,0.031,0.961,0.963,0.066,0.142,-0.020,0.158,0.022,-0.028,-0.999,1013.26,1013.25,0.45,0,idle,
18,0.320,0.031,-0.007,0.962,0.962,0.157,-0.100,0.094,0.209,0.020,-0.035,-0.999,1013.25,1013.25,0.48,0,idle,
19,0.340,0.034,0.019,1.015,1.016,0.100,-0.192,0.046,0.221,0.022,-0.034,-0.999,1013.25,1013.25,0.51,0,idle,
20,0.360,0.022,0.021,1.002,1.002,0.073,0.103,0.010,0.127,0.015,-0.029,-0.999,1013.23,1013.25,0.54,0,idle,
21,0.380,0.002,0.047,1.025,1.026,0.158,-0.019,-0.055,0.168,0.025,-0.036,-0.999,1013.25,1013.25,0.57,0,idle,
22,0.400,0.019,0.049,0.980,0.981,0.129,0.163,0.005,0.207,0.022,-0.023,-0.999,1013.25,1013.25,0.60,0,idle,
23,0.420,-0.010,0.037,0.972,0.972,0.045,0.167,0.098,0.199,0.011,-0.031,-0.999,1013.26,1013.25,0.63,0,idle,
24,0.440,0.048,0.037,0.976,0.978,-0.163,0.005,-0.099,0.191,0.015,-0.038,-0.999,1013.26,1013.25,0.66,0,idle,
25,0.460,-0.039,-0.038,1.036,1.038,0.049,-0.011,0.001,0.051,0.026,-0.035,-0.999,1013.23,1013.25,0.69,0,idle,
26,0.480,0.041,-0.046,0.987,0.989,-0.034,0.027,-0.050,0.066,0.020,-0.029,-0.999,1013.24,1013.25,0.72,0,idle,
27,0.500,0.011,0.011,1.050,1.050,0.009,0.124,-0.025,0.127,0.029,-0.040,-0.999,1013.23,1013.25,0.75,0,idle,
28,0.520,-0.027,-0.027,1.007,1.007,-0.182,0.102,-0.028,0.210,0.028,-0.025,-0.999,1013.24,1013.25,0.78,0,idle,
29,0.540,-0.015,-0.032,0.990,0.991,-0.174,0.144,0.085,0.241,0.018,-0.034,-0.999,1013.26,1013.25,0.81,0,idle,
30,0.560,0.035,-0.026,0.971,0.972,0.141,0.064,-0.082,0.176,0.011,-0.040,-0.999,1013.25,1013.25,0.84,0,idle,
