t,accelMag,vertG,signedLoadG,rotMag,gx,gy,gz,speed,baro
0.000,0.0240,1.0160,1.0160,0.0684,-0.0580,-0.0280,0.0230,0.0,
0.014,0.0238,1.0137,1.0137,0.0167,0.0060,-0.0120,0.0100,0.0,
0.032,0.0309,1.0158,1.0158,0.0278,0.0230,-0.0100,0.0120,0.0,
0.052,0.0131,1.0127,1.0127,0.0397,-0.0330,-0.0140,0.0170,0.0,
0.072,0.0134,1.0087,1.0087,0.0848,-0.0790,-0.0300,0.0070,0.0,
0.092,0.0084,0.9947,0.9947,0.0778,-0.0710,-0.0290,-0.0130,0.0,
0.112,0.0113,0.9934,0.9934,0.0448,-0.0010,-0.0410,-0.0180,0.0,
0.132,0.0210,0.9917,0.9917,0.0638,0.0540,-0.0340,-0.0020,0.0,
0.152,0.0185,0.9974,0.9974,0.1000,0.0820,-0.0570,0.0050,0.0,
0.172,0.0328,0.9942,0.9942,0.0743,0.0440,-0.0590,-0.0100,0.0,
0.217,0.0199,0.9974,0.9974,0.0657,0.0420,-0.0500,-0.0070,0.0,
0.217,0.0172,0.9974,0.9974,0.0555,0.0400,-0.0340,0.0180,0.0,
0.296,0.0258,0.9968,0.9968,0.0321,0.0100,-0.0120,0.0280,0.0,
0.296,0.0190,1.0036,1.0036,0.0230,-0.0010,0.0010,0.0230,0.0,
0.296,0.0108,1.0027,1.0027,0.0161,0.0050,0.0150,0.0030,0.0,
0.296,0.0108,1.0049,1.0049,0.0384,-0.0320,0.0160,-0.0140,0.0,
0.313,0.0138,1.0139,1.0139,0.0294,-0.0240,0.0170,0.0000,0.0,
0.416,0.0171,1.0154,1.0154,0.0085,0.0000,0.0060,0.0060,0.0,
0.502,0.0178,1.0026,1.0026,0.0280,-0.0110,0.0060,0.0250,0.0,
0.502,0.0090,1.0075,1.0075,0.0538,-0.0320,0.0050,0.0430,0.0,
0.502,0.0093,1.0073,1.0073,0.0359,0.0180,0.0110,0.0290,0.0,
0.502,0.0274,1.0030,1.0030,0.0608,0.0570,0.0210,-0.0030,0.0,
0.502,0.0224,0.9980,0.9980,0.0724,0.0590,0.0420,-0.0010,0.0,
0.502,0.0086,0.9975,0.9975,0.0740,0.0220,0.0680,0.0190,0.0,
0.502,0.0105,0.9903,0.9903,0.0981,-0.0060,0.0880,0.0430,0.0,
0.502,0.0189,0.9816,0.9816,0.1344,-0.0160,0.1160,0.0660,0.0,
0.548,0.0236,0.9778,0.9778,0.1450,-0.0030,0.1280,0.0680,0.0,
0.548,0.0234,0.9819,0.9819,0.1617,-0.0040,0.1410,0.0790,0.0,
0.557,0.0124,0.9879,0.9879,0.1850,0.0030,0.1550,0.1010,0.0,
0.575,0.0089,0.9964,0.9964,0.1947,-0.0010,0.1450,0.1300,0.0,
0.594,0.0127,0.9922,0.9922,0.1930,-0.0150,0.1180,0.1520,0.0,
0.613,0.0256,0.9898,0.9898,0.1857,-0.0150,0.0930,0.1600,0.0,
0.679,0.0176,0.9936,0.9936,0.1510,0.0060,0.0730,0.1320,0.0,
0.679,0.0114,1.0058,1.0058,0.1259,0.0380,0.0720,0.0960,0.0,
0.679,0.0233,1.0133,1.0133,0.1160,0.0580,0.0730,0.0690,0.0,
0.696,0.0312,1.0178,1.0178,0.0947,0.0370,0.0570,0.0660,0.0,
0.715,0.0330,1.0228,1.0228,0.0971,0.0600,0.0280,0.0710,0.0,
0.733,0.0315,1.0210,1.0210,0.1081,0.0640,0.0050,0.0870,0.0,
0.759,0.0305,1.0203,1.0203,0.0865,0.0230,-0.0150,0.0820,0.0,
0.779,0.0367,1.0264,1.0264,0.0821,0.0060,-0.0370,0.0730,0.0,
0.795,0.0257,1.0179,1.0179,0.0904,0.0030,-0.0420,0.0800,0.0,
0.814,0.0129,1.0095,1.0095,0.0711,0.0270,-0.0270,0.0600,0.0,
0.833,0.0102,0.9999,0.9999,0.0779,0.0630,-0.0130,0.0440,0.0,
0.856,0.0189,1.0068,1.0068,0.0993,0.0720,-0.0180,0.0660,0.0,
0.873,0.0144,0.9982,0.9982,0.0543,-0.0050,0.0020,0.0540,0.0,
0.894,0.0191,1.0046,1.0046,0.0624,-0.0130,0.0110,0.0600,0.0,
0.915,0.0127,0.9988,0.9988,0.0574,-0.0170,0.0340,0.0430,0.0,
0.934,0.0264,1.0091,1.0091,0.0742,-0.0290,0.0580,0.0360,0.0,
0.956,0.0064,1.0064,1.0064,0.0659,-0.0390,0.0510,0.0150,0.0,
0.974,0.0186,1.0012,1.0012,0.0327,-0.0310,0.0090,0.0050,0.0,
0.994,0.0289,0.9945,0.9945,0.0685,-0.0310,-0.0610,-0.0020,0.0,
1.014,0.0251,0.9909,0.9909,0.1446,-0.0620,-0.1250,0.0380,0.0,
1.034,0.0154,0.9916,0.9916,0.2682,-0.1500,-0.1970,0.1030,0.0,
1.054,0.0378,0.9672,0.9672,0.3443,-0.1570,-0.1990,0.2330,0.0,
1.074,0.0437,0.9568,0.9568,0.5247,-0.3150,-0.2460,0.3400,0.0,
1.094,0.0282,0.9785,0.9785,0.6094,-0.3450,-0.2830,0.4150,0.0,
1.114,0.0300,1.0011,1.0011,0.5361,-0.2690,-0.2330,0.4010,0.0,
1.142,0.0544,0.9569,0.9569,0.9494,0.0180,-0.4060,0.8580,0.0,
1.157,0.0055,1.0019,1.0019,0.8468,0.0690,-0.0920,0.8390,0.0,
1.174,0.0763,0.9615,0.9615,0.7270,-0.0230,0.1760,0.7050,0.0,
1.194,0.0945,0.9700,0.9700,1.1255,-0.8090,-0.7140,0.3200,0.0,
1.214,0.2355,0.8503,0.8503,0.9509,-0.9130,-0.1640,0.2090,0.0,
1.236,0.1017,1.0076,1.0076,0.8246,-0.6040,-0.0220,0.5610,0.0,
1.254,0.0983,0.9535,0.9535,1.4298,-1.3060,-0.1620,0.5590,0.0,
1.274,0.1936,0.9581,0.9581,1.5629,-1.4400,-0.4520,0.4060,0.0,
1.294,0.1110,1.0397,1.0397,1.7305,-1.2630,-0.4620,1.0890,0.0,
1.314,0.0936,1.0733,1.0733,2.0779,-1.4140,-0.2310,1.5050,0.0,
1.334,0.1599,1.1312,1.1312,1.6157,-1.5950,0.1540,0.2070,0.0,
1.354,0.2613,1.0889,1.0889,1.0414,-0.9560,0.1930,-0.3650,0.0,
1.375,0.1850,1.0316,1.0316,0.3043,-0.0740,-0.1170,0.2710,0.0,
1.395,0.1253,0.9784,0.9784,0.1957,0.1460,-0.1020,0.0810,0.0,
1.415,0.1042,1.0463,1.0463,0.1411,0.1350,0.0300,0.0280,0.0,
1.434,0.0655,1.0290,1.0290,0.0899,0.0270,0.0850,-0.0110,0.0,
1.455,0.0396,0.9893,0.9893,0.1393,-0.0790,0.1110,-0.0290,0.0,
1.476,0.0590,0.9889,0.9889,0.2362,-0.1830,0.1490,-0.0090,0.0,
1.495,0.0663,1.0175,1.0175,0.2835,-0.2140,0.1860,0.0000,0.0,
1.515,0.0693,1.0318,1.0318,0.2682,-0.1440,0.2260,0.0100,0.0,
1.535,0.0655,1.0371,1.0371,0.2664,-0.0500,0.2610,0.0180,0.0,
1.557,0.0506,1.0340,1.0340,0.3019,-0.0380,0.2990,0.0170,0.0,
1.575,0.0377,1.0216,1.0216,0.3474,-0.1280,0.3230,0.0010,0.0,
1.595,0.0501,1.0219,1.0219,0.4323,-0.1680,0.3980,-0.0160,0.0,
1.616,0.0561,1.0488,1.0488,0.4503,-0.1270,0.4300,-0.0420,0.0,
1.635,0.0437,1.0404,1.0404,0.4454,-0.0300,0.4410,-0.0550,0.0,
1.655,0.0464,1.0293,1.0293,0.4813,0.0270,0.4740,-0.0790,0.0,
1.675,0.0558,1.0454,1.0454,0.5034,0.1090,0.4830,-0.0910,0.0,
1.695,0.0340,1.0200,1.0200,0.4986,0.1430,0.4660,-0.1050,0.0,
1.715,0.0291,0.9978,0.9978,0.4568,0.1080,0.4270,-0.1210,0.0,
1.735,0.0305,0.9839,0.9839,0.3765,0.0110,0.3620,-0.1030,0.0,
1.758,0.0250,0.9912,0.9912,0.3250,-0.1170,0.2940,-0.0740,0.0,
1.786,0.0274,1.0118,1.0118,0.2768,-0.1390,0.2320,-0.0590,0.0,
1.795,0.0270,1.0197,1.0197,0.1849,-0.0100,0.1720,-0.0670,0.0,
1.815,0.0591,1.0529,1.0529,0.2556,0.1990,0.1520,-0.0510,0.0,
1.836,0.1301,1.1037,1.1037,0.4851,0.4280,0.2170,-0.0710,0.0,
1.857,0.1355,1.0929,1.0929,0.6488,0.5830,0.2770,-0.0660,0.0,
1.875,0.1419,1.0938,1.0938,0.8063,0.7200,0.3580,-0.0600,0.0,
1.895,0.1461,1.0714,1.0714,0.9573,0.8350,0.4680,-0.0150,0.0,
1.915,0.1043,1.0347,1.0347,1.1114,0.9690,0.5440,0.0180,0.0,
1.936,0.0480,0.9975,0.9975,1.3985,1.2740,0.5730,0.0670,0.0,
1.958,0.0339,0.9693,0.9693,1.9617,1.8810,0.5490,0.0930,0.0,
1.976,0.1554,0.9626,0.9626,2.6501,2.5820,0.5930,0.0680,0.0,
1.996,0.1854,0.9794,0.9794,3.0688,3.0130,0.5800,0.0550,0.0,
2.016,0.0992,0.9709,0.9709,2.8571,2.8060,0.5350,0.0560,0.0,
2.036,0.1065,0.9178,0.9178,2.1240,2.0630,0.5050,0.0210,0.0,
2.057,0.1670,0.9061,0.9061,1.2267,1.1620,0.3920,0.0280,0.0,
2.076,0.1389,0.9806,0.9806,0.8786,0.8630,0.1030,0.1290,0.0,
2.096,0.1588,0.9769,0.9769,1.1523,1.0950,-0.0010,0.3590,0.0,
2.116,0.1856,0.9370,0.9370,1.3969,1.3370,-0.1000,0.3920,0.0,
2.136,0.1216,0.9565,0.9565,1.0698,0.9750,-0.1320,0.4200,0.0,
2.157,0.1448,0.9698,0.9698,0.5246,0.3880,-0.1380,0.3250,0.0,
2.176,0.0889,0.9669,0.9669,0.5114,0.4750,-0.0490,0.1830,0.0,
2.196,0.1198,0.9928,0.9928,0.6877,0.6830,0.0740,-0.0320,0.0,
2.216,0.0978,1.0098,1.0098,0.6557,0.6500,0.0740,-0.0450,0.0,
2.236,0.0644,1.0183,1.0183,0.3558,0.3200,0.1400,-0.0680,0.0,
2.257,0.0729,0.9957,0.9957,0.2125,0.0610,0.0970,-0.1790,0.0,
2.276,0.0323,1.0124,1.0124,0.3483,0.2850,0.1450,-0.1380,0.0,
2.296,0.0456,0.9918,0.9918,0.4835,0.4460,0.1470,-0.1150,0.0,
2.316,0.0466,0.9866,0.9866,0.3759,0.3240,0.0970,-0.1640,0.0,
2.336,0.0329,0.9921,0.9921,0.3015,0.2200,0.1040,-0.1780,0.0,
2.364,0.0443,1.0061,1.0061,0.2447,0.1870,0.0710,-0.1410,0.0,
2.377,0.0257,0.9987,0.9987,0.1604,0.1060,0.0640,-0.1020,0.0,
2.396,0.0279,0.9983,0.9983,0.1584,0.1100,0.0840,-0.0770,0.0,
2.417,0.0508,0.9791,0.9791,0.1735,0.1250,0.1170,-0.0280,0.0,
2.436,0.0625,1.0107,1.0107,0.1626,0.1160,0.1090,-0.0330,0.0,
2.458,0.0707,1.0309,1.0309,0.0945,0.0520,0.0610,-0.0500,0.0,
2.476,0.0371,1.0340,1.0340,0.0982,0.0820,0.0540,-0.0030,0.0,
2.496,0.0352,1.0080,1.0080,0.0103,0.0090,0.0040,-0.0030,0.0,
2.517,0.0439,1.0000,1.0000,0.1363,0.1280,-0.0260,-0.0390,0.0,
2.536,0.0480,0.9886,0.9886,0.1697,0.1430,-0.0550,-0.0730,0.0,
2.557,0.0150,0.9957,0.9957,0.0965,0.0170,-0.0480,-0.0820,0.0,
2.577,0.0543,1.0008,1.0008,0.1056,-0.0420,-0.0360,-0.0900,0.0,
2.597,0.0542,1.0296,1.0296,0.1110,-0.0440,-0.0370,-0.0950,0.0,
2.617,0.0436,1.0259,1.0259,0.0941,0.0160,-0.0680,-0.0630,0.0,
2.637,0.0582,1.0198,1.0198,0.1371,-0.0080,-0.0800,-0.1110,0.0,
2.658,0.0384,1.0111,1.0111,0.1579,-0.0500,-0.0910,-0.1190,0.0,
2.677,0.0470,1.0280,1.0280,0.1617,-0.0820,-0.1010,-0.0960,0.0,
2.697,0.0499,1.0109,1.0109,0.1703,-0.0940,-0.0790,-0.1180,0.0,
