# Jump comparison — session 2026-07-28
# Watch session (ours): log_20260728_182822_05D47F19.kslog, engine v15-clean, session start local = 2026-07-28 18:28:22 +03:00, duration = 3175.8s (~52.9 min)
# App jumps below are the LIVE on-device "JUMP(v15) FINAL" events actually written into the log during the session (58 of them) — NOT the offline JumpReplay recompute, which only found 36 for this same file (known live-vs-offline detector blindspot, see memory). Takeoff time = event_log_time - latency - airtime.
# Reference jumps: read from WhatsApp screenshots in logs_2807/ (GPS tracker app "Analysis" screen). Times are session-relative mm:ss FROM THE REFERENCE APP'S OWN SESSION START, which is not shown in the screenshots — do not assume it equals 18:28:22 without checking.
# NOTE: this file only lists both sides side by side for manual cross-referencing. No matching/alignment between the two lists has been attempted yet.

## SECTION 1: Reference jumps (from photos) — 14 jumps
ref_index,run,session_time_mmss,session_time_sec,direction,height_m,airtime_s,max_air_speed_mph,takeoff_speed_mph,distance_m
1,Run 1,00:05:32,332,R,2.3,3.4,18,17.3,21.5
2,Run 2,00:06:14,374,L,5.4,4.6,22.7,21.5,27.1
3,Run 2,00:06:39,399,L,4.1,4.0,20.7,19.7,27.3
4,Run 4,00:07:58,478,L,8.5,5.6,18.8,17.2,35.8
5,Transition 4,00:08:24,504,L,3.1,4.0,16.2,16.2,9.9
6,Run 6,00:09:36,576,L,4.1,4.5,24.7,23.9,28.9
7,Run 7,00:11:14,674,R,2.1,3.3,17.8,17.1,15.5
8,Run 8,00:11:42,702,L,6.0,5.4,21.8,21.1,24.4
9,Run 10,00:13:22,802,L,7.3,5.8,22.0,17.2,42.0
10,Run 10,00:13:49,829,L,8.4,5.9,18.6,15.1,28.5
11,Run 12,00:15:44,944,L,4.9,5.1,16.2,16.2,14.7
12,Run 14,00:17:36,1056,L,6.3,5.4,24.7,23.7,34.3
13,Run 16,00:20:31,1231,L,4.7,4.5,20.6,20.4,10.3
14,Run 18,00:22:58,1378,L,7.4,5.6,19.1,15.1,33.1

## SECTION 2: App-detected jumps (ours, LIVE v15-clean on-device engine) — 58 jumps
app_index,session_time_mmss,session_time_sec,wallclock_local,airtime_s,height_m,height_source,distance_m,confidence,rotations
0,01:13.76,73.76,18:29:35,5.60,3.67,relativeParabola,0.06,65,1.20
1,01:46.39,106.39,18:30:08,4.39,2.96,ballistic,1.02,50,2.79
2,02:30.37,150.37,18:30:52,5.54,2.55,ballistic,1.85,50,2.15
3,02:58.48,178.48,18:31:20,3.98,2.23,ballistic,2.41,50,1.64
4,03:08.26,188.26,18:31:30,5.41,1.90,ballistic,2.47,50,1.12
5,03:28.77,208.77,18:31:50,2.81,1.59,ballistic,7.06,50,0.62
6,04:41.56,281.56,18:33:03,2.31,1.77,ballistic,10.43,50,0.90
7,05:23.70,323.70,18:33:45,3.49,1.80,ballistic,31.50,50,0.95
8,05:42.72,342.72,18:34:04,5.66,2.19,ballistic,42.27,50,1.57
9,07:05.40,425.40,18:35:27,2.59,1.74,ballistic,25.61,50,0.86
10,08:34.63,514.63,18:36:56,5.70,4.26,relativeParabola,32.79,65,0.57
11,08:59.75,539.75,18:37:21,5.88,3.97,apexFit,24.91,90,1.57
12,11:20.52,680.52,18:39:42,2.14,1.98,ballistic,11.17,50,1.24
13,12:31.29,751.29,18:40:53,4.83,2.04,ballistic,38.65,50,1.33
14,12:59.03,779.03,18:41:21,4.82,1.99,ballistic,26.52,50,1.25
15,15:28.26,928.26,18:43:50,5.25,3.45,relativeParabola,27.42,65,0.86
16,16:10.50,970.50,18:44:32,4.30,2.02,relativeParabola,25.07,65,0.55
17,16:42.07,1002.07,18:45:04,3.93,1.80,ballistic,42.41,50,0.95
18,16:59.93,1019.93,18:45:21,3.23,1.53,ballistic,13.83,50,0.53
19,17:18.46,1038.46,18:45:40,5.18,4.49,relativeParabola,30.81,65,0.50
20,17:55.21,1075.21,18:46:17,5.73,3.97,relativeParabola,23.97,65,0.67
21,18:28.32,1108.32,18:46:50,5.52,3.83,relativeParabola,31.99,65,0.81
22,18:39.74,1119.74,18:47:01,1.27,1.27,apexFit,14.56,90,0.47
23,19:02.40,1142.40,18:47:24,6.00,7.44,apexFit,32.93,90,0.85
24,19:14.60,1154.60,18:47:36,5.28,1.63,ballistic,33.56,50,0.65
25,19:31.66,1171.66,18:47:53,2.05,1.18,apexFit,13.33,90,0.20
26,19:40.30,1180.30,18:48:02,2.88,1.61,ballistic,5.50,50,0.66
27,20:16.52,1216.52,18:48:38,2.17,6.84,apexFit,7.93,90,0.31
28,20:26.75,1226.75,18:48:48,1.71,1.49,ballistic,8.59,50,0.46
29,20:32.60,1232.60,18:48:54,4.33,2.72,apexFit,13.21,90,0.74
30,21:03.41,1263.41,18:49:25,3.04,1.62,ballistic,16.60,50,0.68
31,21:35.75,1295.75,18:49:57,1.88,1.57,ballistic,12.06,50,0.58
32,22:08.21,1328.21,18:50:30,4.48,1.69,ballistic,24.20,50,0.77
33,22:22.39,1342.39,18:50:44,3.89,1.95,ballistic,22.75,50,1.19
34,22:29.97,1349.97,18:50:51,6.06,6.11,apexFit,25.78,90,1.38
35,22:43.72,1363.72,18:51:05,2.56,12.44,apexFit,7.19,90,0.28
36,23:05.47,1385.47,18:51:27,5.51,4.90,relativeParabola,13.89,65,1.57
